
 epochs   TRAIN_error   TEST_error
    1     0.5784391     0.5784786
    2     0.5784391     0.5784786
    3     0.5781624     0.5762841
    4     0.5781624     0.5762841
    5     0.5781624     0.5762841
    6     0.5781624     0.5762841
    7     0.5781624     0.5762841
    8     0.5781624     0.5762841
    9     0.5781624     0.5762841
   10     0.5781624     0.5762841
   11     0.5778146     0.5758477
   12     0.5778146     0.5758477
   13     0.5778146     0.5758477
   14     0.5778146     0.5758477
   15     0.5778146     0.5758477
   16     0.5778146     0.5758477
   17     0.5778146     0.5758477
   18     0.5778146     0.5758477
   19     0.5778146     0.5758477
   20     0.5778146     0.5758477
   21     0.5778146     0.5758477
   22     0.5778146     0.5758477
   23     0.5778146     0.5758477
   24     0.5778146     0.5758477
   25     0.5778146     0.5758477
   26     0.5778146     0.5758477
   27     0.5778146     0.5758477
   28     0.5778146     0.5758477
   29     0.5778146     0.5758477
   30     0.5778146     0.5758477
   31     0.5776908     0.5756467
   32     0.5776908     0.5756467
   33     0.5776908     0.5756467
   34     0.5776908     0.5756467
   35     0.5776908     0.5756467
   36     0.5776828     0.5756090
   37     0.5776828     0.5756090
   38     0.5776828     0.5756090
   39     0.5776828     0.5756090
   40     0.5776828     0.5756090
   41     0.5776828     0.5756090
   42     0.5776828     0.5756090
   43     0.5776828     0.5756090
   44     0.5776828     0.5756090
   45     0.5776828     0.5756090
   46     0.5776828     0.5756090
   47     0.5776828     0.5756090
   48     0.5776828     0.5756090
   49     0.5776828     0.5756090
   50     0.5776828     0.5756090
   51     0.5776828     0.5756090
   52     0.5776828     0.5756090
   53     0.5776828     0.5756090
   54     0.5776828     0.5756090
   55     0.5776828     0.5756090
   56     0.5776828     0.5756090
   57     0.5776828     0.5756090
   58     0.5776828     0.5756090
   59     0.5776828     0.5756090
   60     0.5776828     0.5756090
   61     0.5776828     0.5756090
   62     0.5776828     0.5756090
   63     0.5776828     0.5756090
   64     0.5776828     0.5756090
   65     0.5776828     0.5756090
   66     0.5776828     0.5756090
   67     0.5776828     0.5756090
   68     0.5776828     0.5756090
   69     0.5776828     0.5756090
   70     0.5776828     0.5756090
   71     0.5776828     0.5756090
   72     0.5776828     0.5756090
   73     0.5776828     0.5756090
   74     0.5776828     0.5756090
   75     0.5776828     0.5756090
   76     0.5776828     0.5756090
   77     0.5776828     0.5756090
   78     0.5776828     0.5756090
   79     0.5776828     0.5756090
   80     0.5776828     0.5756090
   81     0.5776828     0.5756090
   82     0.5776828     0.5756090
   83     0.5776828     0.5756090
   84     0.5776828     0.5756090
   85     0.5776828     0.5756090
   86     0.5776828     0.5756090
   87     0.5776828     0.5756090
   88     0.5776828     0.5756090
   89     0.5776828     0.5756090
   90     0.5776828     0.5756090
   91     0.5776828     0.5756090
   92     0.5776828     0.5756090
   93     0.5776828     0.5756090
   94     0.5776828     0.5756090
   95     0.5776828     0.5756090
   96     0.5776828     0.5756090
   97     0.5776828     0.5756090
   98     0.5776828     0.5756090
   99     0.5776828     0.5756090
  100     0.5776828     0.5756090
TRAIN ERROR =  0.5776828
TEST  ERROR =  0.5756090
VAL   ERROR =  0.5828097
 
