
 epochs   TRAIN_error   TEST_error
    1     0.5786518     0.5772632
    2     0.5786518     0.5772632
    3     0.5786518     0.5772632
    4     0.5786518     0.5772632
    5     0.5786518     0.5772632
    6     0.5786518     0.5772632
    7     0.5786518     0.5772632
    8     0.5786518     0.5772632
    9     0.5786518     0.5772632
   10     0.5784346     0.5768635
   11     0.5784346     0.5768635
   12     0.5784346     0.5768635
   13     0.5784346     0.5768635
   14     0.5784346     0.5768635
   15     0.5784346     0.5768635
   16     0.5784346     0.5768635
   17     0.5784346     0.5768635
   18     0.5784346     0.5768635
   19     0.5784346     0.5768635
   20     0.5784346     0.5768635
   21     0.5784346     0.5768635
   22     0.5784346     0.5768635
   23     0.5784346     0.5768635
   24     0.5784346     0.5768635
   25     0.5784346     0.5768635
   26     0.5784346     0.5768635
   27     0.5784346     0.5768635
   28     0.5777177     0.5762593
   29     0.5777177     0.5762593
   30     0.5777177     0.5762593
   31     0.5777177     0.5762593
   32     0.5777177     0.5762593
   33     0.5777177     0.5762593
   34     0.5777177     0.5762593
   35     0.5777177     0.5762593
   36     0.5777177     0.5762593
   37     0.5777177     0.5762593
   38     0.5777177     0.5762593
   39     0.5777177     0.5762593
   40     0.5777177     0.5762593
   41     0.5777177     0.5762593
   42     0.5777177     0.5762593
   43     0.5777177     0.5762593
   44     0.5777177     0.5762593
   45     0.5777177     0.5762593
   46     0.5777177     0.5762593
   47     0.5777177     0.5762593
   48     0.5777177     0.5762593
   49     0.5777177     0.5762593
   50     0.5777177     0.5762593
   51     0.5777177     0.5762593
   52     0.5777177     0.5762593
   53     0.5777177     0.5762593
   54     0.5777177     0.5762593
   55     0.5777177     0.5762593
   56     0.5777177     0.5762593
   57     0.5777177     0.5762593
   58     0.5775881     0.5761076
   59     0.5775881     0.5761076
   60     0.5775881     0.5761076
   61     0.5775881     0.5761076
   62     0.5775881     0.5761076
   63     0.5775881     0.5761076
   64     0.5775881     0.5761076
   65     0.5775881     0.5761076
   66     0.5775881     0.5761076
   67     0.5775881     0.5761076
   68     0.5775881     0.5761076
   69     0.5775881     0.5761076
   70     0.5775881     0.5761076
   71     0.5775881     0.5761076
   72     0.5775881     0.5761076
   73     0.5775881     0.5761076
   74     0.5775881     0.5761076
   75     0.5775881     0.5761076
   76     0.5775881     0.5761076
   77     0.5775881     0.5761076
   78     0.5775881     0.5761076
   79     0.5775881     0.5761076
   80     0.5775881     0.5761076
   81     0.5775881     0.5761076
   82     0.5775881     0.5761076
   83     0.5775881     0.5761076
   84     0.5775881     0.5761076
   85     0.5775881     0.5761076
   86     0.5775881     0.5761076
   87     0.5775881     0.5761076
   88     0.5775869     0.5760909
   89     0.5775869     0.5760909
   90     0.5775869     0.5760909
   91     0.5775869     0.5760909
   92     0.5775869     0.5760909
   93     0.5775869     0.5760909
   94     0.5775869     0.5760909
   95     0.5775869     0.5760909
   96     0.5775869     0.5760909
   97     0.5775869     0.5760909
   98     0.5775869     0.5760909
   99     0.5775869     0.5760909
  100     0.5775869     0.5760909
TRAIN ERROR =  0.5775869
TEST  ERROR =  0.5760909
VAL   ERROR =  0.5828337
 
