
 epochs   TRAIN_error   TEST_error
    1     1.3019679     0.5897281
    2     1.3019679     0.5897281
    3     1.3019679     0.5897281
    4     1.3019679     0.5897281
    5     1.3019679     0.5897281
    6     1.3019679     0.5897281
    7     1.3019679     0.5897281
    8     1.3019679     0.5897281
    9     0.8533206     0.8693335
   10     0.8533206     0.8693335
   11     0.8533206     0.8693335
   12     0.8533206     0.8693335
   13     0.8533206     0.8693335
   14     0.5885199     0.6035589
   15     0.5885199     0.6035589
   16     0.5885199     0.6035589
   17     0.5885199     0.6035589
   18     0.5885199     0.6035589
   19     0.5885199     0.6035589
   20     0.5885199     0.6035589
   21     0.5885199     0.6035589
   22     0.5885199     0.6035589
   23     0.5885199     0.6035589
   24     0.5885199     0.6035589
   25     0.5885199     0.6035589
   26     0.5885199     0.6035589
   27     0.5885199     0.6035589
   28     0.5885199     0.6035589
   29     0.5885199     0.6035589
   30     0.5885199     0.6035589
   31     0.5885199     0.6035589
   32     0.5885199     0.6035589
   33     0.5857508     0.6006323
   34     0.5857508     0.6006323
   35     0.5857508     0.6006323
   36     0.5803578     0.5925483
   37     0.5803578     0.5925483
   38     0.5803578     0.5925483
   39     0.5803578     0.5925483
   40     0.5803578     0.5925483
   41     0.5803578     0.5925483
   42     0.5803578     0.5925483
   43     0.5803578     0.5925483
   44     0.5803578     0.5925483
   45     0.5803578     0.5925483
   46     0.5803578     0.5925483
   47     0.5803578     0.5925483
   48     0.5803578     0.5925483
   49     0.5803578     0.5925483
   50     0.5803578     0.5925483
   51     0.5803578     0.5925483
   52     0.5803578     0.5925483
   53     0.5803578     0.5925483
   54     0.5803578     0.5925483
   55     0.5803578     0.5925483
   56     0.5803578     0.5925483
   57     0.5803578     0.5925483
   58     0.5803578     0.5925483
   59     0.5803578     0.5925483
   60     0.5803578     0.5925483
   61     0.5803578     0.5925483
   62     0.5803578     0.5925483
   63     0.5803578     0.5925483
   64     0.5803578     0.5925483
   65     0.5803578     0.5925483
   66     0.5803578     0.5925483
   67     0.5803578     0.5925483
   68     0.5803578     0.5925483
   69     0.5803578     0.5925483
   70     0.5803578     0.5925483
   71     0.5803578     0.5925483
   72     0.5803578     0.5925483
   73     0.5803578     0.5925483
   74     0.5803578     0.5925483
   75     0.5803578     0.5925483
   76     0.5766568     0.5904962
   77     0.5766568     0.5904962
   78     0.5766568     0.5904962
   79     0.5766568     0.5904962
   80     0.5766568     0.5904962
   81     0.5766568     0.5904962
   82     0.5766568     0.5904962
   83     0.5766568     0.5904962
   84     0.5766568     0.5904962
   85     0.5766568     0.5904962
   86     0.5766568     0.5904962
   87     0.5766568     0.5904962
   88     0.5766568     0.5904962
   89     0.5766568     0.5904962
   90     0.5766568     0.5904962
   91     0.5766568     0.5904962
   92     0.5764651     0.5895101
   93     0.5764651     0.5895101
   94     0.5764651     0.5895101
   95     0.5764651     0.5895101
   96     0.5764651     0.5895101
   97     0.5764651     0.5895101
   98     0.5764651     0.5895101
   99     0.5764651     0.5895101
  100     0.5764651     0.5895101
TRAIN ERROR =  0.5764651
TEST  ERROR =  0.5895101
VAL   ERROR =  0.5851859
 
