
 epochs   TRAIN_error   TEST_error
    1     0.5843871     0.5866833
    2     0.5814718     0.5917891
    3     0.5782910     0.5889023
    4     0.5755758     0.5861877
    5     0.5755758     0.5861877
    6     0.5747861     0.5853750
    7     0.5747861     0.5853750
    8     0.5747861     0.5853750
    9     0.5747861     0.5853750
   10     0.5747861     0.5853750
   11     0.5747277     0.5853100
   12     0.5747277     0.5853100
   13     0.5747277     0.5853100
   14     0.5747277     0.5853100
   15     0.5747277     0.5853100
   16     0.5747277     0.5853100
   17     0.5747277     0.5853100
   18     0.5747277     0.5853100
   19     0.5747277     0.5853100
   20     0.5747277     0.5853100
   21     0.5747277     0.5853100
   22     0.5747277     0.5853100
   23     0.5747263     0.5853040
   24     0.5747263     0.5853040
   25     0.5747263     0.5853040
   26     0.5747263     0.5853040
   27     0.5747263     0.5853040
   28     0.5747263     0.5853040
   29     0.5747263     0.5853040
   30     0.5747263     0.5853040
   31     0.5747263     0.5853040
   32     0.5747263     0.5853040
   33     0.5747263     0.5853040
   34     0.5747263     0.5853040
   35     0.5747263     0.5853040
   36     0.5747263     0.5853040
   37     0.5747263     0.5853040
   38     0.5747263     0.5853040
   39     0.5747263     0.5853040
   40     0.5747263     0.5853040
   41     0.5747263     0.5853040
   42     0.5747263     0.5853040
   43     0.5747263     0.5853040
   44     0.5747263     0.5853040
   45     0.5747263     0.5853040
   46     0.5747263     0.5853040
   47     0.5747263     0.5853040
   48     0.5747263     0.5853040
   49     0.5747263     0.5853040
   50     0.5747263     0.5853040
   51     0.5747263     0.5853040
   52     0.5747263     0.5853040
   53     0.5747263     0.5853040
   54     0.5747263     0.5853040
   55     0.5747263     0.5853040
   56     0.5747263     0.5853040
   57     0.5747263     0.5853040
   58     0.5747263     0.5853040
   59     0.5747263     0.5853040
   60     0.5747263     0.5853040
   61     0.5747263     0.5853040
   62     0.5747263     0.5853040
   63     0.5747263     0.5853040
   64     0.5747263     0.5853040
   65     0.5747263     0.5853040
   66     0.5747263     0.5853040
   67     0.5747263     0.5853040
   68     0.5747263     0.5853040
   69     0.5747263     0.5853040
   70     0.5747263     0.5853040
   71     0.5747263     0.5853040
   72     0.5747263     0.5853040
   73     0.5747263     0.5853040
   74     0.5747263     0.5853040
   75     0.5747263     0.5853040
   76     0.5747263     0.5853040
   77     0.5747263     0.5853040
   78     0.5747263     0.5853040
   79     0.5747263     0.5853040
   80     0.5747263     0.5853040
   81     0.5747263     0.5853040
   82     0.5747263     0.5853040
   83     0.5747263     0.5853040
   84     0.5747263     0.5853040
   85     0.5747263     0.5853040
   86     0.5747263     0.5853040
   87     0.5747263     0.5853040
   88     0.5747263     0.5853040
   89     0.5747263     0.5853040
   90     0.5747263     0.5853040
   91     0.5747263     0.5853040
   92     0.5747263     0.5853040
   93     0.5747263     0.5853040
   94     0.5747263     0.5853040
   95     0.5747263     0.5853040
   96     0.5747263     0.5853040
   97     0.5747263     0.5853040
   98     0.5747263     0.5853040
   99     0.5747263     0.5853040
  100     0.5747263     0.5853040
TRAIN ERROR =  0.5747263
TEST  ERROR =  0.5853040
VAL   ERROR =  0.5835890
 
