
 epochs   TRAIN_error   TEST_error
    1     0.7781858     0.5847109
    2     0.7781858     0.5847109
    3     0.5924052     0.6011072
    4     0.5924052     0.6011072
    5     0.5924052     0.6011072
    6     0.5924052     0.6011072
    7     0.5924052     0.6011072
    8     0.5924052     0.6011072
    9     0.5924052     0.6011072
   10     0.5924052     0.6011072
   11     0.5924052     0.6011072
   12     0.5924052     0.6011072
   13     0.5924052     0.6011072
   14     0.5924052     0.6011072
   15     0.5924052     0.6011072
   16     0.5924052     0.6011072
   17     0.5924052     0.6011072
   18     0.5924052     0.6011072
   19     0.5924052     0.6011072
   20     0.5924052     0.6011072
   21     0.5924052     0.6011072
   22     0.5924052     0.6011072
   23     0.5924052     0.6011072
   24     0.5924052     0.6011072
   25     0.5924052     0.6011072
   26     0.5751565     0.5846422
   27     0.5751565     0.5846422
   28     0.5751565     0.5846422
   29     0.5751565     0.5846422
   30     0.5751565     0.5846422
   31     0.5751565     0.5846422
   32     0.5751565     0.5846422
   33     0.5751565     0.5846422
   34     0.5751565     0.5846422
   35     0.5751565     0.5846422
   36     0.5751565     0.5846422
   37     0.5751565     0.5846422
   38     0.5751565     0.5846422
   39     0.5751565     0.5846422
   40     0.5751565     0.5846422
   41     0.5751565     0.5846422
   42     0.5751565     0.5846422
   43     0.5751565     0.5846422
   44     0.5751565     0.5846422
   45     0.5751565     0.5846422
   46     0.5751565     0.5846422
   47     0.5751565     0.5846422
   48     0.5751565     0.5846422
   49     0.5751565     0.5846422
   50     0.5751565     0.5846422
   51     0.5751565     0.5846422
   52     0.5751565     0.5846422
   53     0.5751565     0.5846422
   54     0.5751565     0.5846422
   55     0.5751565     0.5846422
   56     0.5751565     0.5846422
   57     0.5751565     0.5846422
   58     0.5751565     0.5846422
   59     0.5751565     0.5846422
   60     0.5751565     0.5846422
   61     0.5751565     0.5846422
   62     0.5751565     0.5846422
   63     0.5751565     0.5846422
   64     0.5751565     0.5846422
   65     0.5751565     0.5846422
   66     0.5751565     0.5846422
   67     0.5751565     0.5846422
   68     0.5751565     0.5846422
   69     0.5751565     0.5846422
   70     0.5751565     0.5846422
   71     0.5751565     0.5846422
   72     0.5751565     0.5846422
   73     0.5751565     0.5846422
   74     0.5751565     0.5846422
   75     0.5750703     0.5846137
   76     0.5750703     0.5846137
   77     0.5750703     0.5846137
   78     0.5750703     0.5846137
   79     0.5750703     0.5846137
   80     0.5750703     0.5846137
   81     0.5750703     0.5846137
   82     0.5750703     0.5846137
   83     0.5750703     0.5846137
   84     0.5750703     0.5846137
   85     0.5750703     0.5846137
   86     0.5750703     0.5846137
   87     0.5750703     0.5846137
   88     0.5750703     0.5846137
   89     0.5750703     0.5846137
   90     0.5750703     0.5846137
   91     0.5750703     0.5846137
   92     0.5750703     0.5846137
   93     0.5750703     0.5846137
   94     0.5750703     0.5846137
   95     0.5750703     0.5846137
   96     0.5750703     0.5846137
   97     0.5750703     0.5846137
   98     0.5750703     0.5846137
   99     0.5750703     0.5846137
  100     0.5750703     0.5846137
TRAIN ERROR =  0.5750703
TEST  ERROR =  0.5846137
VAL   ERROR =  0.5837798
 
