
 epochs   TRAIN_error   TEST_error
    1     0.6730484     0.5842572
    2     0.5766525     0.5856642
    3     0.5766525     0.5856642
    4     0.5766525     0.5856642
    5     0.5766525     0.5856642
    6     0.5751432     0.5843249
    7     0.5751432     0.5843249
    8     0.5751432     0.5843249
    9     0.5751432     0.5843249
   10     0.5751432     0.5843249
   11     0.5751432     0.5843249
   12     0.5751432     0.5843249
   13     0.5751432     0.5843249
   14     0.5751432     0.5843249
   15     0.5751432     0.5843249
   16     0.5751432     0.5843249
   17     0.5751432     0.5843249
   18     0.5751432     0.5843249
   19     0.5751432     0.5843249
   20     0.5751432     0.5843249
   21     0.5751432     0.5843249
   22     0.5751432     0.5843249
   23     0.5751432     0.5843249
   24     0.5751432     0.5843249
   25     0.5751432     0.5843249
   26     0.5751432     0.5843249
   27     0.5751432     0.5843249
   28     0.5751432     0.5843249
   29     0.5751432     0.5843249
   30     0.5751432     0.5843249
   31     0.5751432     0.5843249
   32     0.5751432     0.5843249
   33     0.5751432     0.5843249
   34     0.5751432     0.5843249
   35     0.5751432     0.5843249
   36     0.5751432     0.5843249
   37     0.5751432     0.5843249
   38     0.5751432     0.5843249
   39     0.5751432     0.5843249
   40     0.5751432     0.5843249
   41     0.5751432     0.5843249
   42     0.5751432     0.5843249
   43     0.5751432     0.5843249
   44     0.5751432     0.5843249
   45     0.5751432     0.5843249
   46     0.5751432     0.5843249
   47     0.5751432     0.5843249
   48     0.5751432     0.5843249
   49     0.5751432     0.5843249
   50     0.5751432     0.5843249
   51     0.5751432     0.5843249
   52     0.5751432     0.5843249
   53     0.5751432     0.5843249
   54     0.5751432     0.5843249
   55     0.5751432     0.5843249
   56     0.5751432     0.5843249
   57     0.5751432     0.5843249
   58     0.5751432     0.5843249
   59     0.5751432     0.5843249
   60     0.5751432     0.5843249
   61     0.5751432     0.5843249
   62     0.5751432     0.5843249
   63     0.5751432     0.5843249
   64     0.5751432     0.5843249
   65     0.5751432     0.5843249
   66     0.5751432     0.5843249
   67     0.5751432     0.5843249
   68     0.5751432     0.5843249
   69     0.5751432     0.5843249
   70     0.5751432     0.5843249
   71     0.5751432     0.5843249
   72     0.5751432     0.5843249
   73     0.5751432     0.5843249
   74     0.5751432     0.5843249
   75     0.5751432     0.5843249
   76     0.5751432     0.5843249
   77     0.5751432     0.5843249
   78     0.5751432     0.5843249
   79     0.5751432     0.5843249
   80     0.5751432     0.5843249
   81     0.5751432     0.5843249
   82     0.5751432     0.5843249
   83     0.5751432     0.5843249
   84     0.5751432     0.5843249
   85     0.5751432     0.5843249
   86     0.5751432     0.5843249
   87     0.5751432     0.5843249
   88     0.5751432     0.5843249
   89     0.5751432     0.5843249
   90     0.5751432     0.5843249
   91     0.5751432     0.5843249
   92     0.5751432     0.5843249
   93     0.5751432     0.5843249
   94     0.5751432     0.5843249
   95     0.5751432     0.5843249
   96     0.5750775     0.5843673
   97     0.5750775     0.5843673
   98     0.5750775     0.5843673
   99     0.5750775     0.5843673
  100     0.5750775     0.5843673
TRAIN ERROR =  0.5750775
TEST  ERROR =  0.5843673
VAL   ERROR =  0.5843729
 
