
 epochs   TRAIN_error   TEST_error
    1     0.6105859     0.5819691
    2     0.5833724     0.5905909
    3     0.5755748     0.5822667
    4     0.5755748     0.5822667
    5     0.5755748     0.5822667
    6     0.5755748     0.5822667
    7     0.5755748     0.5822667
    8     0.5755748     0.5822667
    9     0.5755748     0.5822667
   10     0.5755748     0.5822667
   11     0.5755748     0.5822667
   12     0.5755748     0.5822667
   13     0.5755748     0.5822667
   14     0.5755748     0.5822667
   15     0.5755748     0.5822667
   16     0.5755748     0.5822667
   17     0.5755748     0.5822667
   18     0.5755748     0.5822667
   19     0.5755748     0.5822667
   20     0.5755748     0.5822667
   21     0.5755748     0.5822667
   22     0.5755748     0.5822667
   23     0.5755748     0.5822667
   24     0.5755748     0.5822667
   25     0.5755748     0.5822667
   26     0.5755748     0.5822667
   27     0.5755748     0.5822667
   28     0.5755748     0.5822667
   29     0.5755748     0.5822667
   30     0.5755748     0.5822667
   31     0.5755748     0.5822667
   32     0.5755748     0.5822667
   33     0.5755748     0.5822667
   34     0.5755748     0.5822667
   35     0.5755748     0.5822667
   36     0.5755748     0.5822667
   37     0.5755748     0.5822667
   38     0.5755748     0.5822667
   39     0.5755748     0.5822667
   40     0.5755748     0.5822667
   41     0.5755748     0.5822667
   42     0.5755748     0.5822667
   43     0.5755748     0.5822667
   44     0.5755748     0.5822667
   45     0.5755748     0.5822667
   46     0.5755748     0.5822667
   47     0.5755748     0.5822667
   48     0.5755748     0.5822667
   49     0.5755748     0.5822667
   50     0.5755748     0.5822667
   51     0.5755748     0.5822667
   52     0.5755748     0.5822667
   53     0.5755748     0.5822667
   54     0.5755748     0.5822667
   55     0.5755748     0.5822667
   56     0.5755748     0.5822667
   57     0.5755748     0.5822667
   58     0.5755748     0.5822667
   59     0.5755748     0.5822667
   60     0.5755748     0.5822667
   61     0.5755748     0.5822667
   62     0.5755748     0.5822667
   63     0.5755748     0.5822667
   64     0.5755748     0.5822667
   65     0.5755748     0.5822667
   66     0.5755748     0.5822667
   67     0.5755748     0.5822667
   68     0.5755748     0.5822667
   69     0.5755748     0.5822667
   70     0.5755748     0.5822667
   71     0.5755748     0.5822667
   72     0.5755748     0.5822667
   73     0.5755748     0.5822667
   74     0.5755748     0.5822667
   75     0.5755748     0.5822667
   76     0.5755748     0.5822667
   77     0.5755748     0.5822667
   78     0.5755748     0.5822667
   79     0.5755748     0.5822667
   80     0.5755748     0.5822667
   81     0.5755748     0.5822667
   82     0.5755748     0.5822667
   83     0.5755748     0.5822667
   84     0.5755748     0.5822667
   85     0.5755748     0.5822667
   86     0.5755748     0.5822667
   87     0.5755748     0.5822667
   88     0.5755748     0.5822667
   89     0.5755748     0.5822667
   90     0.5755748     0.5822667
   91     0.5755748     0.5822667
   92     0.5755748     0.5822667
   93     0.5755748     0.5822667
   94     0.5755748     0.5822667
   95     0.5755748     0.5822667
   96     0.5755748     0.5822667
   97     0.5755748     0.5822667
   98     0.5755748     0.5822667
   99     0.5755748     0.5822667
  100     0.5755748     0.5822667
TRAIN ERROR =  0.5755748
TEST  ERROR =  0.5822667
VAL   ERROR =  0.5835922
 
