
 epochs   TRAIN_error   TEST_error
    1     0.5796739     0.5778368
    2     0.5777502     0.5723728
    3     0.5777502     0.5723728
    4     0.5777502     0.5723728
    5     0.5777502     0.5723728
    6     0.5777502     0.5723728
    7     0.5777502     0.5723728
    8     0.5776062     0.5727502
    9     0.5776062     0.5727502
   10     0.5776062     0.5727502
   11     0.5776062     0.5727502
   12     0.5776062     0.5727502
   13     0.5776062     0.5727502
   14     0.5776062     0.5727502
   15     0.5776062     0.5727502
   16     0.5776062     0.5727502
   17     0.5776062     0.5727502
   18     0.5776062     0.5727502
   19     0.5776062     0.5727502
   20     0.5776062     0.5727502
   21     0.5775141     0.5722764
   22     0.5775141     0.5722764
   23     0.5775141     0.5722764
   24     0.5775141     0.5722764
   25     0.5775141     0.5722764
   26     0.5775141     0.5722764
   27     0.5775141     0.5722764
   28     0.5775141     0.5722764
   29     0.5775141     0.5722764
   30     0.5775141     0.5722764
   31     0.5775141     0.5722764
   32     0.5775141     0.5722764
   33     0.5775141     0.5722764
   34     0.5775141     0.5722764
   35     0.5775141     0.5722764
   36     0.5775141     0.5722764
   37     0.5775141     0.5722764
   38     0.5775141     0.5722764
   39     0.5775141     0.5722764
   40     0.5775141     0.5722764
   41     0.5775141     0.5722764
   42     0.5775141     0.5722764
   43     0.5775141     0.5722764
   44     0.5775141     0.5722764
   45     0.5775141     0.5722764
   46     0.5775141     0.5722764
   47     0.5775141     0.5722764
   48     0.5775141     0.5722764
   49     0.5775141     0.5722764
   50     0.5775141     0.5722764
   51     0.5775141     0.5722764
   52     0.5775141     0.5722764
   53     0.5775141     0.5722764
   54     0.5775141     0.5722764
   55     0.5775141     0.5722764
   56     0.5774271     0.5723320
   57     0.5774271     0.5723320
   58     0.5774271     0.5723320
   59     0.5774271     0.5723320
   60     0.5774271     0.5723320
   61     0.5774271     0.5723320
   62     0.5774271     0.5723320
   63     0.5774271     0.5723320
   64     0.5774271     0.5723320
   65     0.5774271     0.5723320
   66     0.5774271     0.5723320
   67     0.5774271     0.5723320
   68     0.5774271     0.5723320
   69     0.5774271     0.5723320
   70     0.5774271     0.5723320
   71     0.5774271     0.5723320
   72     0.5774271     0.5723320
   73     0.5774271     0.5723320
   74     0.5774271     0.5723320
   75     0.5774271     0.5723320
   76     0.5774271     0.5723320
   77     0.5774271     0.5723320
   78     0.5774271     0.5723320
   79     0.5774271     0.5723320
   80     0.5774271     0.5723320
   81     0.5774271     0.5723320
   82     0.5774271     0.5723320
   83     0.5774271     0.5723320
   84     0.5774271     0.5723320
   85     0.5774271     0.5723320
   86     0.5774271     0.5723320
   87     0.5774271     0.5723320
   88     0.5774271     0.5723320
   89     0.5774271     0.5723320
   90     0.5774271     0.5723320
   91     0.5774271     0.5723320
   92     0.5774271     0.5723320
   93     0.5774271     0.5723320
   94     0.5774271     0.5723320
   95     0.5774271     0.5723320
   96     0.5774271     0.5723320
   97     0.5774271     0.5723320
   98     0.5774271     0.5723320
   99     0.5774271     0.5723320
  100     0.5774271     0.5723320
TRAIN ERROR =  0.5774271
TEST  ERROR =  0.5723320
VAL   ERROR =  0.5822290
 
