
 epochs   TRAIN_error   TEST_error
    1     2.5555105     0.5895680
    2     0.5799477     0.5892721
    3     0.5799477     0.5892721
    4     0.5799477     0.5892721
    5     0.5799477     0.5892721
    6     0.5799477     0.5892721
    7     0.5799477     0.5892721
    8     0.5799477     0.5892721
    9     0.5799477     0.5892721
   10     0.5799477     0.5892721
   11     0.5799477     0.5892721
   12     0.5799477     0.5892721
   13     0.5799477     0.5892721
   14     0.5799477     0.5892721
   15     0.5799477     0.5892721
   16     0.5799477     0.5892721
   17     0.5799477     0.5892721
   18     0.5799477     0.5892721
   19     0.5799477     0.5892721
   20     0.5799477     0.5892721
   21     0.5799477     0.5892721
   22     0.5799477     0.5892721
   23     0.5799477     0.5892721
   24     0.5799477     0.5892721
   25     0.5799477     0.5892721
   26     0.5799477     0.5892721
   27     0.5799477     0.5892721
   28     0.5799477     0.5892721
   29     0.5799477     0.5892721
   30     0.5799477     0.5892721
   31     0.5777889     0.5869901
   32     0.5777889     0.5869901
   33     0.5777683     0.5869730
   34     0.5777683     0.5869730
   35     0.5777683     0.5869730
   36     0.5777683     0.5869730
   37     0.5777683     0.5869730
   38     0.5777683     0.5869730
   39     0.5777683     0.5869730
   40     0.5777683     0.5869730
   41     0.5777683     0.5869730
   42     0.5777683     0.5869730
   43     0.5777683     0.5869730
   44     0.5777683     0.5869730
   45     0.5777683     0.5869730
   46     0.5777683     0.5869730
   47     0.5777683     0.5869730
   48     0.5777683     0.5869730
   49     0.5777683     0.5869730
   50     0.5777683     0.5869730
   51     0.5777683     0.5869730
   52     0.5777683     0.5869730
   53     0.5777683     0.5869730
   54     0.5777683     0.5869730
   55     0.5777683     0.5869730
   56     0.5777683     0.5869730
   57     0.5777683     0.5869730
   58     0.5777683     0.5869730
   59     0.5777683     0.5869730
   60     0.5777683     0.5869730
   61     0.5777683     0.5869730
   62     0.5777683     0.5869730
   63     0.5777683     0.5869730
   64     0.5777683     0.5869730
   65     0.5777683     0.5869730
   66     0.5777683     0.5869730
   67     0.5777683     0.5869730
   68     0.5777683     0.5869730
   69     0.5774534     0.5866318
   70     0.5774534     0.5866318
   71     0.5774534     0.5866318
   72     0.5774534     0.5866318
   73     0.5774534     0.5866318
   74     0.5774534     0.5866318
   75     0.5774534     0.5866318
   76     0.5774534     0.5866318
   77     0.5774534     0.5866318
   78     0.5774534     0.5866318
   79     0.5774534     0.5866318
   80     0.5774534     0.5866318
   81     0.5774534     0.5866318
   82     0.5774534     0.5866318
   83     0.5774534     0.5866318
   84     0.5774534     0.5866318
   85     0.5774534     0.5866318
   86     0.5774534     0.5866318
   87     0.5774534     0.5866318
   88     0.5774534     0.5866318
   89     0.5774534     0.5866318
   90     0.5774534     0.5866318
   91     0.5774534     0.5866318
   92     0.5774534     0.5866318
   93     0.5774534     0.5866318
   94     0.5774534     0.5866318
   95     0.5774534     0.5866318
   96     0.5774534     0.5866318
   97     0.5774534     0.5866318
   98     0.5774534     0.5866318
   99     0.5774534     0.5866318
  100     0.5774534     0.5866318
TRAIN ERROR =  0.5774534
TEST  ERROR =  0.5866318
VAL   ERROR =  0.5862845
 
