
 epochs   TRAIN_error   TEST_error
    1     1.1819052     0.5906014
    2     0.8435246     0.8519064
    3     0.6621653     0.6688254
    4     0.6589177     0.6656360
    5     0.6589177     0.6656360
    6     0.6589177     0.6656360
    7     0.6589177     0.6656360
    8     0.6589177     0.6656360
    9     0.6589177     0.6656360
   10     0.6589177     0.6656360
   11     0.6589177     0.6656360
   12     0.6589177     0.6656360
   13     0.6589177     0.6656360
   14     0.6589177     0.6656360
   15     0.6589177     0.6656360
   16     0.6589177     0.6656360
   17     0.6589177     0.6656360
   18     0.6589177     0.6656360
   19     0.6589177     0.6656360
   20     0.6589177     0.6656360
   21     0.6589177     0.6656360
   22     0.6589177     0.6656360
   23     0.6589177     0.6656360
   24     0.6589177     0.6656360
   25     0.6589177     0.6656360
   26     0.6589177     0.6656360
   27     0.6579754     0.6674264
   28     0.6579754     0.6674264
   29     0.6579754     0.6674264
   30     0.6209759     0.6284950
   31     0.6209759     0.6284950
   32     0.6209759     0.6284950
   33     0.6209759     0.6284950
   34     0.6209759     0.6284950
   35     0.6209759     0.6284950
   36     0.5846927     0.5942945
   37     0.5846927     0.5942945
   38     0.5846927     0.5942945
   39     0.5846927     0.5942945
   40     0.5846927     0.5942945
   41     0.5846927     0.5942945
   42     0.5846927     0.5942945
   43     0.5846927     0.5942945
   44     0.5846927     0.5942945
   45     0.5846927     0.5942945
   46     0.5846927     0.5942945
   47     0.5846927     0.5942945
   48     0.5846927     0.5942945
   49     0.5846927     0.5942945
   50     0.5846927     0.5942945
   51     0.5846927     0.5942945
   52     0.5750405     0.5843186
   53     0.5750405     0.5843186
   54     0.5750405     0.5843186
   55     0.5750405     0.5843186
   56     0.5750405     0.5843186
   57     0.5750405     0.5843186
   58     0.5750405     0.5843186
   59     0.5750405     0.5843186
   60     0.5750405     0.5843186
   61     0.5750405     0.5843186
   62     0.5750405     0.5843186
   63     0.5750405     0.5843186
   64     0.5750405     0.5843186
   65     0.5750405     0.5843186
   66     0.5750405     0.5843186
   67     0.5750405     0.5843186
   68     0.5750405     0.5843186
   69     0.5750405     0.5843186
   70     0.5750405     0.5843186
   71     0.5750405     0.5843186
   72     0.5750405     0.5843186
   73     0.5750405     0.5843186
   74     0.5750405     0.5843186
   75     0.5750405     0.5843186
   76     0.5750405     0.5843186
   77     0.5750405     0.5843186
   78     0.5750405     0.5843186
   79     0.5750405     0.5843186
   80     0.5750405     0.5843186
   81     0.5750405     0.5843186
   82     0.5750405     0.5843186
   83     0.5750405     0.5843186
   84     0.5750405     0.5843186
   85     0.5750405     0.5843186
   86     0.5750405     0.5843186
   87     0.5750405     0.5843186
   88     0.5750405     0.5843186
   89     0.5750405     0.5843186
   90     0.5750405     0.5843186
   91     0.5750405     0.5843186
   92     0.5750405     0.5843186
   93     0.5750405     0.5843186
   94     0.5750405     0.5843186
   95     0.5750405     0.5843186
   96     0.5750405     0.5843186
   97     0.5750405     0.5843186
   98     0.5750405     0.5843186
   99     0.5750405     0.5843186
  100     0.5750405     0.5843186
TRAIN ERROR =  0.5750405
TEST  ERROR =  0.5843186
VAL   ERROR =  0.5843776
 
