
 epochs   TRAIN_error   TEST_error
    1     0.5770823     0.5845678
    2     0.5770823     0.5845678
    3     0.5770823     0.5845678
    4     0.5770823     0.5845678
    5     0.5770823     0.5845678
    6     0.5770823     0.5845678
    7     0.5770823     0.5845678
    8     0.5770823     0.5845678
    9     0.5756982     0.5837851
   10     0.5756982     0.5837851
   11     0.5756982     0.5837851
   12     0.5756982     0.5837851
   13     0.5756982     0.5837851
   14     0.5756982     0.5837851
   15     0.5756982     0.5837851
   16     0.5756909     0.5837807
   17     0.5756909     0.5837807
   18     0.5756909     0.5837807
   19     0.5750610     0.5832398
   20     0.5750610     0.5832398
   21     0.5750610     0.5832398
   22     0.5750610     0.5832398
   23     0.5750610     0.5832398
   24     0.5750610     0.5832398
   25     0.5750610     0.5832398
   26     0.5750610     0.5832398
   27     0.5750610     0.5832398
   28     0.5750610     0.5832398
   29     0.5750610     0.5832398
   30     0.5750610     0.5832398
   31     0.5750610     0.5832398
   32     0.5750610     0.5832398
   33     0.5750610     0.5832398
   34     0.5750610     0.5832398
   35     0.5750610     0.5832398
   36     0.5750610     0.5832398
   37     0.5750610     0.5832398
   38     0.5750610     0.5832398
   39     0.5750610     0.5832398
   40     0.5750610     0.5832398
   41     0.5750610     0.5832398
   42     0.5750610     0.5832398
   43     0.5750610     0.5832398
   44     0.5750610     0.5832398
   45     0.5750610     0.5832398
   46     0.5750610     0.5832398
   47     0.5750610     0.5832398
   48     0.5750610     0.5832398
   49     0.5750610     0.5832398
   50     0.5750610     0.5832398
   51     0.5750610     0.5832398
   52     0.5750610     0.5832398
   53     0.5750610     0.5832398
   54     0.5750610     0.5832398
   55     0.5750610     0.5832398
   56     0.5750610     0.5832398
   57     0.5750610     0.5832398
   58     0.5750610     0.5832398
   59     0.5750610     0.5832398
   60     0.5750610     0.5832398
   61     0.5750610     0.5832398
   62     0.5750610     0.5832398
   63     0.5750610     0.5832398
   64     0.5750610     0.5832398
   65     0.5750610     0.5832398
   66     0.5750610     0.5832398
   67     0.5750610     0.5832398
   68     0.5750610     0.5832398
   69     0.5750610     0.5832398
   70     0.5750610     0.5832398
   71     0.5750610     0.5832398
   72     0.5750610     0.5832398
   73     0.5750610     0.5832398
   74     0.5750610     0.5832398
   75     0.5750610     0.5832398
   76     0.5750610     0.5832398
   77     0.5750610     0.5832398
   78     0.5750610     0.5832398
   79     0.5750610     0.5832398
   80     0.5750610     0.5832398
   81     0.5750610     0.5832398
   82     0.5750610     0.5832398
   83     0.5750610     0.5832398
   84     0.5750610     0.5832398
   85     0.5750610     0.5832398
   86     0.5750610     0.5832398
   87     0.5750610     0.5832398
   88     0.5750610     0.5832398
   89     0.5750610     0.5832398
   90     0.5750610     0.5832398
   91     0.5750610     0.5832398
   92     0.5750610     0.5832398
   93     0.5750610     0.5832398
   94     0.5750610     0.5832398
   95     0.5750610     0.5832398
   96     0.5750610     0.5832398
   97     0.5750610     0.5832398
   98     0.5750610     0.5832398
   99     0.5750610     0.5832398
  100     0.5750610     0.5832398
TRAIN ERROR =  0.5750610
TEST  ERROR =  0.5832398
VAL   ERROR =  0.5835735
 
