
 epochs   TRAIN_error   TEST_error
    1     0.6245838     0.5867385
    2     0.5766152     0.5855948
    3     0.5766152     0.5855948
    4     0.5747302     0.5839418
    5     0.5747302     0.5839418
    6     0.5747302     0.5839418
    7     0.5747302     0.5839418
    8     0.5747302     0.5839418
    9     0.5747302     0.5839418
   10     0.5747302     0.5839418
   11     0.5747302     0.5839418
   12     0.5747302     0.5839418
   13     0.5746522     0.5838243
   14     0.5746522     0.5838243
   15     0.5746522     0.5838243
   16     0.5746522     0.5838243
   17     0.5746522     0.5838243
   18     0.5746522     0.5838243
   19     0.5746522     0.5838243
   20     0.5746522     0.5838243
   21     0.5746522     0.5838243
   22     0.5746522     0.5838243
   23     0.5746522     0.5838243
   24     0.5746522     0.5838243
   25     0.5746522     0.5838243
   26     0.5746522     0.5838243
   27     0.5746522     0.5838243
   28     0.5746522     0.5838243
   29     0.5746522     0.5838243
   30     0.5746522     0.5838243
   31     0.5746522     0.5838243
   32     0.5746522     0.5838243
   33     0.5746522     0.5838243
   34     0.5746522     0.5838243
   35     0.5746522     0.5838243
   36     0.5746522     0.5838243
   37     0.5746522     0.5838243
   38     0.5746522     0.5838243
   39     0.5746522     0.5838243
   40     0.5746522     0.5838243
   41     0.5746522     0.5838243
   42     0.5746522     0.5838243
   43     0.5746522     0.5838243
   44     0.5746522     0.5838243
   45     0.5746522     0.5838243
   46     0.5746522     0.5838243
   47     0.5746522     0.5838243
   48     0.5746522     0.5838243
   49     0.5746522     0.5838243
   50     0.5746522     0.5838243
   51     0.5746522     0.5838243
   52     0.5746522     0.5838243
   53     0.5746522     0.5838243
   54     0.5746522     0.5838243
   55     0.5746522     0.5838243
   56     0.5746522     0.5838243
   57     0.5746522     0.5838243
   58     0.5746522     0.5838243
   59     0.5746522     0.5838243
   60     0.5746522     0.5838243
   61     0.5746522     0.5838243
   62     0.5746522     0.5838243
   63     0.5746522     0.5838243
   64     0.5746522     0.5838243
   65     0.5746522     0.5838243
   66     0.5746522     0.5838243
   67     0.5746522     0.5838243
   68     0.5746522     0.5838243
   69     0.5746522     0.5838243
   70     0.5746522     0.5838243
   71     0.5746522     0.5838243
   72     0.5746522     0.5838243
   73     0.5746522     0.5838243
   74     0.5746522     0.5838243
   75     0.5746522     0.5838243
   76     0.5746522     0.5838243
   77     0.5746522     0.5838243
   78     0.5746522     0.5838243
   79     0.5746522     0.5838243
   80     0.5746522     0.5838243
   81     0.5746522     0.5838243
   82     0.5746522     0.5838243
   83     0.5746522     0.5838243
   84     0.5746522     0.5838243
   85     0.5746522     0.5838243
   86     0.5746522     0.5838243
   87     0.5746522     0.5838243
   88     0.5746522     0.5838243
   89     0.5746522     0.5838243
   90     0.5746522     0.5838243
   91     0.5746522     0.5838243
   92     0.5746522     0.5838243
   93     0.5746522     0.5838243
   94     0.5746522     0.5838243
   95     0.5746522     0.5838243
   96     0.5746522     0.5838243
   97     0.5746522     0.5838243
   98     0.5746522     0.5838243
   99     0.5746522     0.5838243
  100     0.5746522     0.5838243
TRAIN ERROR =  0.5746522
TEST  ERROR =  0.5838243
VAL   ERROR =  0.5839819
 
