
 epochs   TRAIN_error   TEST_error
    1     0.5777805     0.5770941
    2     0.5777805     0.5770941
    3     0.5777805     0.5770941
    4     0.5777805     0.5770941
    5     0.5777805     0.5770941
    6     0.5777805     0.5770941
    7     0.5777805     0.5770941
    8     0.5777805     0.5770941
    9     0.5777805     0.5770941
   10     0.5777805     0.5770941
   11     0.5777805     0.5770941
   12     0.5777805     0.5770941
   13     0.5777805     0.5770941
   14     0.5777805     0.5770941
   15     0.5777805     0.5770941
   16     0.5777805     0.5770941
   17     0.5777805     0.5770941
   18     0.5777805     0.5770941
   19     0.5777805     0.5770941
   20     0.5777805     0.5770941
   21     0.5777805     0.5770941
   22     0.5777805     0.5770941
   23     0.5777805     0.5770941
   24     0.5777805     0.5770941
   25     0.5777805     0.5770941
   26     0.5777805     0.5770941
   27     0.5777805     0.5770941
   28     0.5777805     0.5770941
   29     0.5777805     0.5770941
   30     0.5777805     0.5770941
   31     0.5777805     0.5770941
   32     0.5777805     0.5770941
   33     0.5777805     0.5770941
   34     0.5777805     0.5770941
   35     0.5777805     0.5770941
   36     0.5777805     0.5770941
   37     0.5777805     0.5770941
   38     0.5777805     0.5770941
   39     0.5777805     0.5770941
   40     0.5777805     0.5770941
   41     0.5777805     0.5770941
   42     0.5777805     0.5770941
   43     0.5777805     0.5770941
   44     0.5777805     0.5770941
   45     0.5777805     0.5770941
   46     0.5777805     0.5770941
   47     0.5777805     0.5770941
   48     0.5777805     0.5770941
   49     0.5777805     0.5770941
   50     0.5777805     0.5770941
   51     0.5777805     0.5770941
   52     0.5777805     0.5770941
   53     0.5777805     0.5770941
   54     0.5777805     0.5770941
   55     0.5777805     0.5770941
   56     0.5777805     0.5770941
   57     0.5777805     0.5770941
   58     0.5777805     0.5770941
   59     0.5777805     0.5770941
   60     0.5777805     0.5770941
   61     0.5777805     0.5770941
   62     0.5777805     0.5770941
   63     0.5777805     0.5770941
   64     0.5777805     0.5770941
   65     0.5777805     0.5770941
   66     0.5777805     0.5770941
   67     0.5777805     0.5770941
   68     0.5777805     0.5770941
   69     0.5777805     0.5770941
   70     0.5777805     0.5770941
   71     0.5777805     0.5770941
   72     0.5777805     0.5770941
   73     0.5777805     0.5770941
   74     0.5777805     0.5770941
   75     0.5777805     0.5770941
   76     0.5777805     0.5770941
   77     0.5777805     0.5770941
   78     0.5777805     0.5770941
   79     0.5777805     0.5770941
   80     0.5777805     0.5770941
   81     0.5777805     0.5770941
   82     0.5777805     0.5770941
   83     0.5777805     0.5770941
   84     0.5777805     0.5770941
   85     0.5777805     0.5770941
   86     0.5777805     0.5770941
   87     0.5777805     0.5770941
   88     0.5777805     0.5770941
   89     0.5777805     0.5770941
   90     0.5777805     0.5770941
   91     0.5777805     0.5770941
   92     0.5777805     0.5770941
   93     0.5777805     0.5770941
   94     0.5777805     0.5770941
   95     0.5777805     0.5770941
   96     0.5777805     0.5770941
   97     0.5777805     0.5770941
   98     0.5777805     0.5770941
   99     0.5777805     0.5770941
  100     0.5777805     0.5770941
TRAIN ERROR =  0.5777805
TEST  ERROR =  0.5770941
VAL   ERROR =  0.5830812
 
