
 epochs   TRAIN_error   TEST_error
    1     0.5790469     0.5894317
    2     0.5790469     0.5894317
    3     0.5790469     0.5894317
    4     0.5790469     0.5894317
    5     0.5790469     0.5894317
    6     0.5790469     0.5894317
    7     0.5790469     0.5894317
    8     0.5790469     0.5894317
    9     0.5790469     0.5894317
   10     0.5790469     0.5894317
   11     0.5790469     0.5894317
   12     0.5790469     0.5894317
   13     0.5790469     0.5894317
   14     0.5790469     0.5894317
   15     0.5790469     0.5894317
   16     0.5790469     0.5894317
   17     0.5790469     0.5894317
   18     0.5790469     0.5894317
   19     0.5790469     0.5894317
   20     0.5790469     0.5894317
   21     0.5790469     0.5894317
   22     0.5790469     0.5894317
   23     0.5790469     0.5894317
   24     0.5790469     0.5894317
   25     0.5790469     0.5894317
   26     0.5790469     0.5894317
   27     0.5790469     0.5894317
   28     0.5790469     0.5894317
   29     0.5790469     0.5894317
   30     0.5790469     0.5894317
   31     0.5790469     0.5894317
   32     0.5790469     0.5894317
   33     0.5790469     0.5894317
   34     0.5790469     0.5894317
   35     0.5790469     0.5894317
   36     0.5790469     0.5894317
   37     0.5790469     0.5894317
   38     0.5790469     0.5894317
   39     0.5790469     0.5894317
   40     0.5790469     0.5894317
   41     0.5790469     0.5894317
   42     0.5790469     0.5894317
   43     0.5790469     0.5894317
   44     0.5790469     0.5894317
   45     0.5790469     0.5894317
   46     0.5790469     0.5894317
   47     0.5790469     0.5894317
   48     0.5790469     0.5894317
   49     0.5790469     0.5894317
   50     0.5790469     0.5894317
   51     0.5790469     0.5894317
   52     0.5790469     0.5894317
   53     0.5790469     0.5894317
   54     0.5790469     0.5894317
   55     0.5790469     0.5894317
   56     0.5790469     0.5894317
   57     0.5790469     0.5894317
   58     0.5790469     0.5894317
   59     0.5790469     0.5894317
   60     0.5790469     0.5894317
   61     0.5790469     0.5894317
   62     0.5790469     0.5894317
   63     0.5790469     0.5894317
   64     0.5790469     0.5894317
   65     0.5790469     0.5894317
   66     0.5790469     0.5894317
   67     0.5790469     0.5894317
   68     0.5790469     0.5894317
   69     0.5790469     0.5894317
   70     0.5790469     0.5894317
   71     0.5790469     0.5894317
   72     0.5790469     0.5894317
   73     0.5790469     0.5894317
   74     0.5790469     0.5894317
   75     0.5790469     0.5894317
   76     0.5790469     0.5894317
   77     0.5790469     0.5894317
   78     0.5790469     0.5894317
   79     0.5790469     0.5894317
   80     0.5790469     0.5894317
   81     0.5790469     0.5894317
   82     0.5790469     0.5894317
   83     0.5790469     0.5894317
   84     0.5790469     0.5894317
   85     0.5790469     0.5894317
   86     0.5790469     0.5894317
   87     0.5790469     0.5894317
   88     0.5790469     0.5894317
   89     0.5790469     0.5894317
   90     0.5790469     0.5894317
   91     0.5790469     0.5894317
   92     0.5790469     0.5894317
   93     0.5790469     0.5894317
   94     0.5790469     0.5894317
   95     0.5790469     0.5894317
   96     0.5790469     0.5894317
   97     0.5790469     0.5894317
   98     0.5790469     0.5894317
   99     0.5790469     0.5894317
  100     0.5790469     0.5894317
TRAIN ERROR =  0.5790469
TEST  ERROR =  0.5894317
VAL   ERROR =  0.5880542
 
