
 epochs   TRAIN_error   TEST_error
    1     0.6132644     0.5864049
    2     0.5808668     0.5896565
    3     0.5808668     0.5896565
    4     0.5775072     0.5860986
    5     0.5775072     0.5860986
    6     0.5774972     0.5860899
    7     0.5774972     0.5860899
    8     0.5774972     0.5860899
    9     0.5774972     0.5860899
   10     0.5774972     0.5860899
   11     0.5774972     0.5860899
   12     0.5774972     0.5860899
   13     0.5774972     0.5860899
   14     0.5774972     0.5860899
   15     0.5747683     0.5834808
   16     0.5747683     0.5834808
   17     0.5747683     0.5834808
   18     0.5746496     0.5833868
   19     0.5746496     0.5833868
   20     0.5746496     0.5833868
   21     0.5746496     0.5833868
   22     0.5746496     0.5833868
   23     0.5746496     0.5833868
   24     0.5746496     0.5833868
   25     0.5746496     0.5833868
   26     0.5746496     0.5833868
   27     0.5746496     0.5833868
   28     0.5746496     0.5833868
   29     0.5746496     0.5833868
   30     0.5746496     0.5833868
   31     0.5746496     0.5833868
   32     0.5746496     0.5833868
   33     0.5746496     0.5833868
   34     0.5746496     0.5833868
   35     0.5746496     0.5833868
   36     0.5746496     0.5833868
   37     0.5746496     0.5833868
   38     0.5746496     0.5833868
   39     0.5746496     0.5833868
   40     0.5746496     0.5833868
   41     0.5746496     0.5833868
   42     0.5746496     0.5833868
   43     0.5746496     0.5833868
   44     0.5746496     0.5833868
   45     0.5746496     0.5833868
   46     0.5746496     0.5833868
   47     0.5746496     0.5833868
   48     0.5746496     0.5833868
   49     0.5746496     0.5833868
   50     0.5746496     0.5833868
   51     0.5746496     0.5833868
   52     0.5746496     0.5833868
   53     0.5746496     0.5833868
   54     0.5746496     0.5833868
   55     0.5746496     0.5833868
   56     0.5746496     0.5833868
   57     0.5746496     0.5833868
   58     0.5746496     0.5833868
   59     0.5746496     0.5833868
   60     0.5746496     0.5833868
   61     0.5746496     0.5833868
   62     0.5746496     0.5833868
   63     0.5746496     0.5833868
   64     0.5746496     0.5833868
   65     0.5746496     0.5833868
   66     0.5746496     0.5833868
   67     0.5746496     0.5833868
   68     0.5746496     0.5833868
   69     0.5746496     0.5833868
   70     0.5746496     0.5833868
   71     0.5746496     0.5833868
   72     0.5746496     0.5833868
   73     0.5746496     0.5833868
   74     0.5746496     0.5833868
   75     0.5746496     0.5833868
   76     0.5746496     0.5833868
   77     0.5746496     0.5833868
   78     0.5746496     0.5833868
   79     0.5746450     0.5833800
   80     0.5746450     0.5833800
   81     0.5746450     0.5833800
   82     0.5746450     0.5833800
   83     0.5746450     0.5833800
   84     0.5746450     0.5833800
   85     0.5746450     0.5833800
   86     0.5746450     0.5833800
   87     0.5746450     0.5833800
   88     0.5746450     0.5833800
   89     0.5746450     0.5833800
   90     0.5746450     0.5833800
   91     0.5746450     0.5833800
   92     0.5746450     0.5833800
   93     0.5746450     0.5833800
   94     0.5746450     0.5833800
   95     0.5746450     0.5833800
   96     0.5746450     0.5833800
   97     0.5746450     0.5833800
   98     0.5746450     0.5833800
   99     0.5746450     0.5833800
  100     0.5746450     0.5833800
TRAIN ERROR =  0.5746450
TEST  ERROR =  0.5833800
VAL   ERROR =  0.5836703
 
