
 epochs   TRAIN_error   TEST_error
    1     1.0802058     0.5856028
    2     0.9823748     0.9900930
    3     0.6025068     0.6121686
    4     0.6025068     0.6121686
    5     0.6025068     0.6121686
    6     0.6025068     0.6121686
    7     0.6020473     0.6117091
    8     0.6020473     0.6117091
    9     0.6020473     0.6117091
   10     0.6020473     0.6117091
   11     0.6020473     0.6117091
   12     0.6020473     0.6117091
   13     0.6020473     0.6117091
   14     0.6020473     0.6117091
   15     0.6020473     0.6117091
   16     0.6020473     0.6117091
   17     0.6020473     0.6117091
   18     0.6020473     0.6117091
   19     0.6020473     0.6117091
   20     0.6020473     0.6117091
   21     0.6020473     0.6117091
   22     0.6020473     0.6117091
   23     0.6020473     0.6117091
   24     0.6020473     0.6117091
   25     0.6004454     0.6101084
   26     0.6004454     0.6101084
   27     0.6004454     0.6101084
   28     0.6004454     0.6101084
   29     0.6004454     0.6101084
   30     0.6004454     0.6101084
   31     0.6004454     0.6101084
   32     0.6004454     0.6101084
   33     0.6004454     0.6101084
   34     0.6004454     0.6101084
   35     0.6004454     0.6101084
   36     0.6004454     0.6101084
   37     0.6004454     0.6101084
   38     0.6004454     0.6101084
   39     0.6004454     0.6101084
   40     0.6004454     0.6101084
   41     0.6004454     0.6101084
   42     0.5779422     0.5868616
   43     0.5779422     0.5868616
   44     0.5779422     0.5868616
   45     0.5779422     0.5868616
   46     0.5779422     0.5868616
   47     0.5779422     0.5868616
   48     0.5779422     0.5868616
   49     0.5779422     0.5868616
   50     0.5779422     0.5868616
   51     0.5779422     0.5868616
   52     0.5779422     0.5868616
   53     0.5779422     0.5868616
   54     0.5779422     0.5868616
   55     0.5779422     0.5868616
   56     0.5779422     0.5868616
   57     0.5770427     0.5860221
   58     0.5770427     0.5860221
   59     0.5770427     0.5860221
   60     0.5770427     0.5860221
   61     0.5770427     0.5860221
   62     0.5770427     0.5860221
   63     0.5770427     0.5860221
   64     0.5770427     0.5860221
   65     0.5770427     0.5860221
   66     0.5770427     0.5860221
   67     0.5770427     0.5860221
   68     0.5770427     0.5860221
   69     0.5770427     0.5860221
   70     0.5770427     0.5860221
   71     0.5770427     0.5860221
   72     0.5770427     0.5860221
   73     0.5770427     0.5860221
   74     0.5770427     0.5860221
   75     0.5770427     0.5860221
   76     0.5770427     0.5860221
   77     0.5770427     0.5860221
   78     0.5770427     0.5860221
   79     0.5770427     0.5860221
   80     0.5770427     0.5860221
   81     0.5770427     0.5860221
   82     0.5770427     0.5860221
   83     0.5770427     0.5860221
   84     0.5770427     0.5860221
   85     0.5770427     0.5860221
   86     0.5770427     0.5860221
   87     0.5770427     0.5860221
   88     0.5770427     0.5860221
   89     0.5770427     0.5860221
   90     0.5770427     0.5860221
   91     0.5770427     0.5860221
   92     0.5770427     0.5860221
   93     0.5770427     0.5860221
   94     0.5770427     0.5860221
   95     0.5770427     0.5860221
   96     0.5770427     0.5860221
   97     0.5770427     0.5860221
   98     0.5770427     0.5860221
   99     0.5770427     0.5860221
  100     0.5770427     0.5860221
TRAIN ERROR =  0.5770427
TEST  ERROR =  0.5860221
VAL   ERROR =  0.5871999
 
