
 epochs   TRAIN_error   TEST_error
    1     0.6454099     0.5821808
    2     0.6454099     0.5821808
    3     0.5778066     0.5829957
    4     0.5778066     0.5829957
    5     0.5778066     0.5829957
    6     0.5778066     0.5829957
    7     0.5778066     0.5829957
    8     0.5774227     0.5830701
    9     0.5774227     0.5830701
   10     0.5774227     0.5830701
   11     0.5774227     0.5830701
   12     0.5774227     0.5830701
   13     0.5774227     0.5830701
   14     0.5774227     0.5830701
   15     0.5774227     0.5830701
   16     0.5774227     0.5830701
   17     0.5774227     0.5830701
   18     0.5754510     0.5808825
   19     0.5754510     0.5808825
   20     0.5754510     0.5808825
   21     0.5754454     0.5809106
   22     0.5754454     0.5809106
   23     0.5754454     0.5809106
   24     0.5754454     0.5809106
   25     0.5754454     0.5809106
   26     0.5754454     0.5809106
   27     0.5754454     0.5809106
   28     0.5754454     0.5809106
   29     0.5754454     0.5809106
   30     0.5754454     0.5809106
   31     0.5754454     0.5809106
   32     0.5754454     0.5809106
   33     0.5754454     0.5809106
   34     0.5754454     0.5809106
   35     0.5754454     0.5809106
   36     0.5754454     0.5809106
   37     0.5754454     0.5809106
   38     0.5754454     0.5809106
   39     0.5754454     0.5809106
   40     0.5754454     0.5809106
   41     0.5754454     0.5809106
   42     0.5754454     0.5809106
   43     0.5754454     0.5809106
   44     0.5754454     0.5809106
   45     0.5754454     0.5809106
   46     0.5754454     0.5809106
   47     0.5754454     0.5809106
   48     0.5754454     0.5809106
   49     0.5754454     0.5809106
   50     0.5754454     0.5809106
   51     0.5754454     0.5809106
   52     0.5754454     0.5809106
   53     0.5754454     0.5809106
   54     0.5754454     0.5809106
   55     0.5754454     0.5809106
   56     0.5754454     0.5809106
   57     0.5754454     0.5809106
   58     0.5754454     0.5809106
   59     0.5754454     0.5809106
   60     0.5754454     0.5809106
   61     0.5754454     0.5809106
   62     0.5754454     0.5809106
   63     0.5754454     0.5809106
   64     0.5754454     0.5809106
   65     0.5754454     0.5809106
   66     0.5754454     0.5809106
   67     0.5754454     0.5809106
   68     0.5754454     0.5809106
   69     0.5754454     0.5809106
   70     0.5754454     0.5809106
   71     0.5754454     0.5809106
   72     0.5754454     0.5809106
   73     0.5754454     0.5809106
   74     0.5754454     0.5809106
   75     0.5754454     0.5809106
   76     0.5754454     0.5809106
   77     0.5754454     0.5809106
   78     0.5754454     0.5809106
   79     0.5754454     0.5809106
   80     0.5754454     0.5809106
   81     0.5754454     0.5809106
   82     0.5754454     0.5809106
   83     0.5754454     0.5809106
   84     0.5754454     0.5809106
   85     0.5754454     0.5809106
   86     0.5754454     0.5809106
   87     0.5754454     0.5809106
   88     0.5754454     0.5809106
   89     0.5754454     0.5809106
   90     0.5754454     0.5809106
   91     0.5754454     0.5809106
   92     0.5754454     0.5809106
   93     0.5754454     0.5809106
   94     0.5754454     0.5809106
   95     0.5754454     0.5809106
   96     0.5754454     0.5809106
   97     0.5754454     0.5809106
   98     0.5754454     0.5809106
   99     0.5754454     0.5809106
  100     0.5754454     0.5809106
TRAIN ERROR =  0.5754454
TEST  ERROR =  0.5809106
VAL   ERROR =  0.5833880
 
