
 epochs   TRAIN_error   TEST_error
    1     0.7348945     0.5770757
    2     0.7348945     0.5770757
    3     0.7348945     0.5770757
    4     0.7348945     0.5770757
    5     0.6255463     0.6278889
    6     0.5789586     0.5777793
    7     0.5789586     0.5777793
    8     0.5789586     0.5777793
    9     0.5789586     0.5777793
   10     0.5789586     0.5777793
   11     0.5789586     0.5777793
   12     0.5789586     0.5777793
   13     0.5789586     0.5777793
   14     0.5789586     0.5777793
   15     0.5789586     0.5777793
   16     0.5789586     0.5777793
   17     0.5789586     0.5777793
   18     0.5789586     0.5777793
   19     0.5789586     0.5777793
   20     0.5789586     0.5777793
   21     0.5789586     0.5777793
   22     0.5789586     0.5777793
   23     0.5789586     0.5777793
   24     0.5789586     0.5777793
   25     0.5789586     0.5777793
   26     0.5777971     0.5771723
   27     0.5777971     0.5771723
   28     0.5777971     0.5771723
   29     0.5777971     0.5771723
   30     0.5777971     0.5771723
   31     0.5777971     0.5771723
   32     0.5777971     0.5771723
   33     0.5777971     0.5771723
   34     0.5777971     0.5771723
   35     0.5777971     0.5771723
   36     0.5777971     0.5771723
   37     0.5777971     0.5771723
   38     0.5777971     0.5771723
   39     0.5777971     0.5771723
   40     0.5777971     0.5771723
   41     0.5777971     0.5771723
   42     0.5777971     0.5771723
   43     0.5777971     0.5771723
   44     0.5777971     0.5771723
   45     0.5777971     0.5771723
   46     0.5777971     0.5771723
   47     0.5777971     0.5771723
   48     0.5777971     0.5771723
   49     0.5777971     0.5771723
   50     0.5777971     0.5771723
   51     0.5777971     0.5771723
   52     0.5777971     0.5771723
   53     0.5777971     0.5771723
   54     0.5777971     0.5771723
   55     0.5777971     0.5771723
   56     0.5777971     0.5771723
   57     0.5777971     0.5771723
   58     0.5777971     0.5771723
   59     0.5777971     0.5771723
   60     0.5777801     0.5771015
   61     0.5777801     0.5771015
   62     0.5777801     0.5771015
   63     0.5777801     0.5771015
   64     0.5777801     0.5771015
   65     0.5777801     0.5771015
   66     0.5777801     0.5771015
   67     0.5777801     0.5771015
   68     0.5777801     0.5771015
   69     0.5777801     0.5771015
   70     0.5777801     0.5771015
   71     0.5777801     0.5771015
   72     0.5777801     0.5771015
   73     0.5777801     0.5771015
   74     0.5777801     0.5771015
   75     0.5777801     0.5771015
   76     0.5777801     0.5771015
   77     0.5777801     0.5771015
   78     0.5777801     0.5771015
   79     0.5777801     0.5771015
   80     0.5777801     0.5771015
   81     0.5777801     0.5771015
   82     0.5777801     0.5771015
   83     0.5777801     0.5771015
   84     0.5777801     0.5771015
   85     0.5777801     0.5771015
   86     0.5777801     0.5771015
   87     0.5777801     0.5771015
   88     0.5777801     0.5771015
   89     0.5777801     0.5771015
   90     0.5777801     0.5771015
   91     0.5777801     0.5771015
   92     0.5777801     0.5771015
   93     0.5777801     0.5771015
   94     0.5777801     0.5771015
   95     0.5777801     0.5771015
   96     0.5777801     0.5771015
   97     0.5777801     0.5771015
   98     0.5777801     0.5771015
   99     0.5777801     0.5771015
  100     0.5777801     0.5771015
TRAIN ERROR =  0.5777801
TEST  ERROR =  0.5771015
VAL   ERROR =  0.5830724
 
