
 epochs   TRAIN_error   TEST_error
    1     0.5972684     0.5843837
    2     0.5972684     0.5843837
    3     0.5972684     0.5843837
    4     0.5972684     0.5843837
    5     0.5972684     0.5843837
    6     0.5972684     0.5843837
    7     0.5972684     0.5843837
    8     0.5972684     0.5843837
    9     0.5972684     0.5843837
   10     0.5972684     0.5843837
   11     0.5772818     0.5831254
   12     0.5772818     0.5831254
   13     0.5772818     0.5831254
   14     0.5772818     0.5831254
   15     0.5772818     0.5831254
   16     0.5772818     0.5831254
   17     0.5772818     0.5831254
   18     0.5772818     0.5831254
   19     0.5772818     0.5831254
   20     0.5772818     0.5831254
   21     0.5772818     0.5831254
   22     0.5772818     0.5831254
   23     0.5772818     0.5831254
   24     0.5772818     0.5831254
   25     0.5772818     0.5831254
   26     0.5772818     0.5831254
   27     0.5772818     0.5831254
   28     0.5772818     0.5831254
   29     0.5772818     0.5831254
   30     0.5772818     0.5831254
   31     0.5772818     0.5831254
   32     0.5772818     0.5831254
   33     0.5772818     0.5831254
   34     0.5772818     0.5831254
   35     0.5772818     0.5831254
   36     0.5772818     0.5831254
   37     0.5772818     0.5831254
   38     0.5772818     0.5831254
   39     0.5772818     0.5831254
   40     0.5772818     0.5831254
   41     0.5772818     0.5831254
   42     0.5772818     0.5831254
   43     0.5772818     0.5831254
   44     0.5772818     0.5831254
   45     0.5772818     0.5831254
   46     0.5772818     0.5831254
   47     0.5772818     0.5831254
   48     0.5772818     0.5831254
   49     0.5772818     0.5831254
   50     0.5772818     0.5831254
   51     0.5772818     0.5831254
   52     0.5772818     0.5831254
   53     0.5772818     0.5831254
   54     0.5772818     0.5831254
   55     0.5772818     0.5831254
   56     0.5772818     0.5831254
   57     0.5772818     0.5831254
   58     0.5772818     0.5831254
   59     0.5772818     0.5831254
   60     0.5772818     0.5831254
   61     0.5772818     0.5831254
   62     0.5772818     0.5831254
   63     0.5772818     0.5831254
   64     0.5772818     0.5831254
   65     0.5772818     0.5831254
   66     0.5772818     0.5831254
   67     0.5772818     0.5831254
   68     0.5772818     0.5831254
   69     0.5772818     0.5831254
   70     0.5772818     0.5831254
   71     0.5772818     0.5831254
   72     0.5772818     0.5831254
   73     0.5771680     0.5827592
   74     0.5771680     0.5827592
   75     0.5771680     0.5827592
   76     0.5771680     0.5827592
   77     0.5771680     0.5827592
   78     0.5771680     0.5827592
   79     0.5771680     0.5827592
   80     0.5771680     0.5827592
   81     0.5771680     0.5827592
   82     0.5771680     0.5827592
   83     0.5771680     0.5827592
   84     0.5771680     0.5827592
   85     0.5771680     0.5827592
   86     0.5771680     0.5827592
   87     0.5771680     0.5827592
   88     0.5771680     0.5827592
   89     0.5771680     0.5827592
   90     0.5771680     0.5827592
   91     0.5771680     0.5827592
   92     0.5771680     0.5827592
   93     0.5771680     0.5827592
   94     0.5771680     0.5827592
   95     0.5771680     0.5827592
   96     0.5771680     0.5827592
   97     0.5771680     0.5827592
   98     0.5771680     0.5827592
   99     0.5771680     0.5827592
  100     0.5771680     0.5827592
TRAIN ERROR =  0.5771680
TEST  ERROR =  0.5827592
VAL   ERROR =  0.5836539
 
