
 epochs   TRAIN_error   TEST_error
    1     0.5807021     0.5891675
    2     0.5801564     0.5883642
    3     0.5801564     0.5883642
    4     0.5758303     0.5845144
    5     0.5758303     0.5845144
    6     0.5758303     0.5845144
    7     0.5758303     0.5845144
    8     0.5755109     0.5843184
    9     0.5755109     0.5843184
   10     0.5755109     0.5843184
   11     0.5755109     0.5843184
   12     0.5755109     0.5843184
   13     0.5755109     0.5843184
   14     0.5755109     0.5843184
   15     0.5755109     0.5843184
   16     0.5755109     0.5843184
   17     0.5755109     0.5843184
   18     0.5755109     0.5843184
   19     0.5755109     0.5843184
   20     0.5755109     0.5843184
   21     0.5755109     0.5843184
   22     0.5755109     0.5843184
   23     0.5755109     0.5843184
   24     0.5755109     0.5843184
   25     0.5755109     0.5843184
   26     0.5755109     0.5843184
   27     0.5755109     0.5843184
   28     0.5755109     0.5843184
   29     0.5755109     0.5843184
   30     0.5755109     0.5843184
   31     0.5755109     0.5843184
   32     0.5755109     0.5843184
   33     0.5755109     0.5843184
   34     0.5755109     0.5843184
   35     0.5755109     0.5843184
   36     0.5755109     0.5843184
   37     0.5755109     0.5843184
   38     0.5755109     0.5843184
   39     0.5755109     0.5843184
   40     0.5755033     0.5843201
   41     0.5755033     0.5843201
   42     0.5755033     0.5843201
   43     0.5755033     0.5843201
   44     0.5755033     0.5843201
   45     0.5755033     0.5843201
   46     0.5755033     0.5843201
   47     0.5755033     0.5843201
   48     0.5755033     0.5843201
   49     0.5755033     0.5843201
   50     0.5755033     0.5843201
   51     0.5755033     0.5843201
   52     0.5755033     0.5843201
   53     0.5755033     0.5843201
   54     0.5755033     0.5843201
   55     0.5755033     0.5843201
   56     0.5755033     0.5843201
   57     0.5755033     0.5843201
   58     0.5755033     0.5843201
   59     0.5755033     0.5843201
   60     0.5755033     0.5843201
   61     0.5755033     0.5843201
   62     0.5754951     0.5843258
   63     0.5754951     0.5843258
   64     0.5754951     0.5843258
   65     0.5754951     0.5843258
   66     0.5754951     0.5843258
   67     0.5754951     0.5843258
   68     0.5754951     0.5843258
   69     0.5754951     0.5843258
   70     0.5754951     0.5843258
   71     0.5754951     0.5843258
   72     0.5754951     0.5843258
   73     0.5754951     0.5843258
   74     0.5754951     0.5843258
   75     0.5754951     0.5843258
   76     0.5754951     0.5843258
   77     0.5754951     0.5843258
   78     0.5754951     0.5843258
   79     0.5754951     0.5843258
   80     0.5754951     0.5843258
   81     0.5754951     0.5843258
   82     0.5754951     0.5843258
   83     0.5754951     0.5843258
   84     0.5754951     0.5843258
   85     0.5754951     0.5843258
   86     0.5754951     0.5843258
   87     0.5754951     0.5843258
   88     0.5754951     0.5843258
   89     0.5754951     0.5843258
   90     0.5754951     0.5843258
   91     0.5754951     0.5843258
   92     0.5754951     0.5843258
   93     0.5754951     0.5843258
   94     0.5754951     0.5843258
   95     0.5754951     0.5843258
   96     0.5754951     0.5843258
   97     0.5754951     0.5843258
   98     0.5754951     0.5843258
   99     0.5754951     0.5843258
  100     0.5754951     0.5843258
TRAIN ERROR =  0.5754951
TEST  ERROR =  0.5843258
VAL   ERROR =  0.5833834
 
