
 epochs   TRAIN_error   TEST_error
    1     0.9490124     0.5904072
    2     0.6021257     0.6197961
    3     0.6021257     0.6197961
    4     0.6021257     0.6197961
    5     0.6021257     0.6197961
    6     0.6021257     0.6197961
    7     0.6021257     0.6197961
    8     0.6021257     0.6197961
    9     0.6021257     0.6197961
   10     0.6021257     0.6197961
   11     0.6021257     0.6197961
   12     0.5764267     0.5904609
   13     0.5764267     0.5904609
   14     0.5764267     0.5904609
   15     0.5764267     0.5904609
   16     0.5764267     0.5904609
   17     0.5764267     0.5904609
   18     0.5764267     0.5904609
   19     0.5764267     0.5904609
   20     0.5764267     0.5904609
   21     0.5764267     0.5904609
   22     0.5764267     0.5904609
   23     0.5764267     0.5904609
   24     0.5764267     0.5904609
   25     0.5764267     0.5904609
   26     0.5764267     0.5904609
   27     0.5764267     0.5904609
   28     0.5764267     0.5904609
   29     0.5764267     0.5904609
   30     0.5764267     0.5904609
   31     0.5764267     0.5904609
   32     0.5764267     0.5904609
   33     0.5764267     0.5904609
   34     0.5764267     0.5904609
   35     0.5764267     0.5904609
   36     0.5764267     0.5904609
   37     0.5764267     0.5904609
   38     0.5764267     0.5904609
   39     0.5764267     0.5904609
   40     0.5764267     0.5904609
   41     0.5764267     0.5904609
   42     0.5764267     0.5904609
   43     0.5764267     0.5904609
   44     0.5764267     0.5904609
   45     0.5764267     0.5904609
   46     0.5764267     0.5904609
   47     0.5764267     0.5904609
   48     0.5764267     0.5904609
   49     0.5764267     0.5904609
   50     0.5764267     0.5904609
   51     0.5764267     0.5904609
   52     0.5764267     0.5904609
   53     0.5764267     0.5904609
   54     0.5764267     0.5904609
   55     0.5764267     0.5904609
   56     0.5764267     0.5904609
   57     0.5764267     0.5904609
   58     0.5764267     0.5904609
   59     0.5764267     0.5904609
   60     0.5764267     0.5904609
   61     0.5764267     0.5904609
   62     0.5764267     0.5904609
   63     0.5764267     0.5904609
   64     0.5764267     0.5904609
   65     0.5764267     0.5904609
   66     0.5764267     0.5904609
   67     0.5764267     0.5904609
   68     0.5764267     0.5904609
   69     0.5764267     0.5904609
   70     0.5764267     0.5904609
   71     0.5764267     0.5904609
   72     0.5764267     0.5904609
   73     0.5764267     0.5904609
   74     0.5764267     0.5904609
   75     0.5764267     0.5904609
   76     0.5764267     0.5904609
   77     0.5764267     0.5904609
   78     0.5764267     0.5904609
   79     0.5764267     0.5904609
   80     0.5764267     0.5904609
   81     0.5764267     0.5904609
   82     0.5764267     0.5904609
   83     0.5764267     0.5904609
   84     0.5764267     0.5904609
   85     0.5764267     0.5904609
   86     0.5764267     0.5904609
   87     0.5764267     0.5904609
   88     0.5764267     0.5904609
   89     0.5764267     0.5904609
   90     0.5764267     0.5904609
   91     0.5764267     0.5904609
   92     0.5764267     0.5904609
   93     0.5764267     0.5904609
   94     0.5764267     0.5904609
   95     0.5764267     0.5904609
   96     0.5764267     0.5904609
   97     0.5764267     0.5904609
   98     0.5764267     0.5904609
   99     0.5764267     0.5904609
  100     0.5764267     0.5904609
TRAIN ERROR =  0.5764267
TEST  ERROR =  0.5904609
VAL   ERROR =  0.5849059
 
