
 epochs   TRAIN_error   TEST_error
    1     0.7910147     0.5812630
    2     0.7910147     0.5812630
    3     0.5859409     0.5871958
    4     0.5819399     0.5853799
    5     0.5819399     0.5853799
    6     0.5819399     0.5853799
    7     0.5795131     0.5814010
    8     0.5795131     0.5814010
    9     0.5795131     0.5814010
   10     0.5795131     0.5814010
   11     0.5781546     0.5810975
   12     0.5781546     0.5810975
   13     0.5781546     0.5810975
   14     0.5781546     0.5810975
   15     0.5781546     0.5810975
   16     0.5781546     0.5810975
   17     0.5781546     0.5810975
   18     0.5781546     0.5810975
   19     0.5781546     0.5810975
   20     0.5781546     0.5810975
   21     0.5781546     0.5810975
   22     0.5781546     0.5810975
   23     0.5781546     0.5810975
   24     0.5781546     0.5810975
   25     0.5781546     0.5810975
   26     0.5781546     0.5810975
   27     0.5781546     0.5810975
   28     0.5781546     0.5810975
   29     0.5781546     0.5810975
   30     0.5781546     0.5810975
   31     0.5773799     0.5797628
   32     0.5773799     0.5797628
   33     0.5773799     0.5797628
   34     0.5773799     0.5797628
   35     0.5773799     0.5797628
   36     0.5773799     0.5797628
   37     0.5773799     0.5797628
   38     0.5773799     0.5797628
   39     0.5773799     0.5797628
   40     0.5773799     0.5797628
   41     0.5773799     0.5797628
   42     0.5773799     0.5797628
   43     0.5773799     0.5797628
   44     0.5773799     0.5797628
   45     0.5773799     0.5797628
   46     0.5773799     0.5797628
   47     0.5773799     0.5797628
   48     0.5772914     0.5797433
   49     0.5772914     0.5797433
   50     0.5772914     0.5797433
   51     0.5772555     0.5798209
   52     0.5772555     0.5798209
   53     0.5772555     0.5798209
   54     0.5772555     0.5798209
   55     0.5772555     0.5798209
   56     0.5772555     0.5798209
   57     0.5772555     0.5798209
   58     0.5772555     0.5798209
   59     0.5772555     0.5798209
   60     0.5772555     0.5798209
   61     0.5772555     0.5798209
   62     0.5772555     0.5798209
   63     0.5772555     0.5798209
   64     0.5772555     0.5798209
   65     0.5772555     0.5798209
   66     0.5772555     0.5798209
   67     0.5772555     0.5798209
   68     0.5772555     0.5798209
   69     0.5772555     0.5798209
   70     0.5772555     0.5798209
   71     0.5772555     0.5798209
   72     0.5772555     0.5798209
   73     0.5772555     0.5798209
   74     0.5772555     0.5798209
   75     0.5772555     0.5798209
   76     0.5772555     0.5798209
   77     0.5772555     0.5798209
   78     0.5772555     0.5798209
   79     0.5772555     0.5798209
   80     0.5772555     0.5798209
   81     0.5772555     0.5798209
   82     0.5772555     0.5798209
   83     0.5772555     0.5798209
   84     0.5772555     0.5798209
   85     0.5772555     0.5798209
   86     0.5772555     0.5798209
   87     0.5772555     0.5798209
   88     0.5772555     0.5798209
   89     0.5772555     0.5798209
   90     0.5772555     0.5798209
   91     0.5772555     0.5798209
   92     0.5772555     0.5798209
   93     0.5772555     0.5798209
   94     0.5772555     0.5798209
   95     0.5772555     0.5798209
   96     0.5772555     0.5798209
   97     0.5772555     0.5798209
   98     0.5772555     0.5798209
   99     0.5772555     0.5798209
  100     0.5772555     0.5798209
TRAIN ERROR =  0.5772555
TEST  ERROR =  0.5798209
VAL   ERROR =  0.5830475
 
