
 epochs   TRAIN_error   TEST_error
    1     0.6489697     0.5885391
    2     0.6489697     0.5885391
    3     0.6489697     0.5885391
    4     0.6489697     0.5885391
    5     0.6489697     0.5885391
    6     0.6489697     0.5885391
    7     0.6489697     0.5885391
    8     0.6489697     0.5885391
    9     0.6489697     0.5885391
   10     0.6489697     0.5885391
   11     0.6489697     0.5885391
   12     0.6489697     0.5885391
   13     0.6489697     0.5885391
   14     0.6489697     0.5885391
   15     0.6489697     0.5885391
   16     0.5766191     0.5857567
   17     0.5766191     0.5857567
   18     0.5766191     0.5857567
   19     0.5766191     0.5857567
   20     0.5766191     0.5857567
   21     0.5766191     0.5857567
   22     0.5766191     0.5857567
   23     0.5766191     0.5857567
   24     0.5766191     0.5857567
   25     0.5766191     0.5857567
   26     0.5766191     0.5857567
   27     0.5766191     0.5857567
   28     0.5766191     0.5857567
   29     0.5766191     0.5857567
   30     0.5766191     0.5857567
   31     0.5766191     0.5857567
   32     0.5766191     0.5857567
   33     0.5766191     0.5857567
   34     0.5766191     0.5857567
   35     0.5766191     0.5857567
   36     0.5766191     0.5857567
   37     0.5766191     0.5857567
   38     0.5766191     0.5857567
   39     0.5766191     0.5857567
   40     0.5766191     0.5857567
   41     0.5766191     0.5857567
   42     0.5766191     0.5857567
   43     0.5766191     0.5857567
   44     0.5766191     0.5857567
   45     0.5766191     0.5857567
   46     0.5766191     0.5857567
   47     0.5766191     0.5857567
   48     0.5766191     0.5857567
   49     0.5766191     0.5857567
   50     0.5766191     0.5857567
   51     0.5766191     0.5857567
   52     0.5766191     0.5857567
   53     0.5766191     0.5857567
   54     0.5766191     0.5857567
   55     0.5766191     0.5857567
   56     0.5766191     0.5857567
   57     0.5748341     0.5838199
   58     0.5748341     0.5838199
   59     0.5748341     0.5838199
   60     0.5748341     0.5838199
   61     0.5748341     0.5838199
   62     0.5748341     0.5838199
   63     0.5748341     0.5838199
   64     0.5748341     0.5838199
   65     0.5748341     0.5838199
   66     0.5748341     0.5838199
   67     0.5748341     0.5838199
   68     0.5748341     0.5838199
   69     0.5748341     0.5838199
   70     0.5748341     0.5838199
   71     0.5748341     0.5838199
   72     0.5748341     0.5838199
   73     0.5748341     0.5838199
   74     0.5748341     0.5838199
   75     0.5748341     0.5838199
   76     0.5748341     0.5838199
   77     0.5748341     0.5838199
   78     0.5748341     0.5838199
   79     0.5748341     0.5838199
   80     0.5748341     0.5838199
   81     0.5748341     0.5838199
   82     0.5748341     0.5838199
   83     0.5748341     0.5838199
   84     0.5748341     0.5838199
   85     0.5748341     0.5838199
   86     0.5748341     0.5838199
   87     0.5748341     0.5838199
   88     0.5748341     0.5838199
   89     0.5748341     0.5838199
   90     0.5748341     0.5838199
   91     0.5748341     0.5838199
   92     0.5748341     0.5838199
   93     0.5748341     0.5838199
   94     0.5748341     0.5838199
   95     0.5748341     0.5838199
   96     0.5748341     0.5838199
   97     0.5748341     0.5838199
   98     0.5748341     0.5838199
   99     0.5748341     0.5838199
  100     0.5748341     0.5838199
TRAIN ERROR =  0.5748341
TEST  ERROR =  0.5838199
VAL   ERROR =  0.5838923
 
