
 epochs   TRAIN_error   TEST_error
    1     0.7425305     0.5873414
    2     0.6334755     0.6388067
    3     0.6260989     0.6315687
    4     0.5754424     0.5825930
    5     0.5754424     0.5825930
    6     0.5754424     0.5825930
    7     0.5754424     0.5825930
    8     0.5753852     0.5825265
    9     0.5753852     0.5825265
   10     0.5753852     0.5825265
   11     0.5753852     0.5825265
   12     0.5753852     0.5825265
   13     0.5753852     0.5825265
   14     0.5753852     0.5825265
   15     0.5753852     0.5825265
   16     0.5753852     0.5825265
   17     0.5753852     0.5825265
   18     0.5753852     0.5825265
   19     0.5753852     0.5825265
   20     0.5753852     0.5825265
   21     0.5753852     0.5825265
   22     0.5753852     0.5825265
   23     0.5753852     0.5825265
   24     0.5753852     0.5825265
   25     0.5753852     0.5825265
   26     0.5753852     0.5825265
   27     0.5753852     0.5825265
   28     0.5753852     0.5825265
   29     0.5753852     0.5825265
   30     0.5753852     0.5825265
   31     0.5753852     0.5825265
   32     0.5753852     0.5825265
   33     0.5753852     0.5825265
   34     0.5753852     0.5825265
   35     0.5753852     0.5825265
   36     0.5753852     0.5825265
   37     0.5753852     0.5825265
   38     0.5753852     0.5825265
   39     0.5753852     0.5825265
   40     0.5753852     0.5825265
   41     0.5753852     0.5825265
   42     0.5753852     0.5825265
   43     0.5753852     0.5825265
   44     0.5753852     0.5825265
   45     0.5753852     0.5825265
   46     0.5753852     0.5825265
   47     0.5753852     0.5825265
   48     0.5753852     0.5825265
   49     0.5753852     0.5825265
   50     0.5753852     0.5825265
   51     0.5753852     0.5825265
   52     0.5753852     0.5825265
   53     0.5753852     0.5825265
   54     0.5753852     0.5825265
   55     0.5753852     0.5825265
   56     0.5753852     0.5825265
   57     0.5753852     0.5825265
   58     0.5753852     0.5825265
   59     0.5753852     0.5825265
   60     0.5753852     0.5825265
   61     0.5753852     0.5825265
   62     0.5753852     0.5825265
   63     0.5753852     0.5825265
   64     0.5753852     0.5825265
   65     0.5753852     0.5825265
   66     0.5753852     0.5825265
   67     0.5753852     0.5825265
   68     0.5753505     0.5823851
   69     0.5753505     0.5823851
   70     0.5753505     0.5823851
   71     0.5752441     0.5823214
   72     0.5752441     0.5823214
   73     0.5752441     0.5823214
   74     0.5752441     0.5823214
   75     0.5752441     0.5823214
   76     0.5752441     0.5823214
   77     0.5752441     0.5823214
   78     0.5752441     0.5823214
   79     0.5752441     0.5823214
   80     0.5752441     0.5823214
   81     0.5752441     0.5823214
   82     0.5752441     0.5823214
   83     0.5752441     0.5823214
   84     0.5752441     0.5823214
   85     0.5752441     0.5823214
   86     0.5752441     0.5823214
   87     0.5752441     0.5823214
   88     0.5752441     0.5823214
   89     0.5752441     0.5823214
   90     0.5752441     0.5823214
   91     0.5752441     0.5823214
   92     0.5752441     0.5823214
   93     0.5752441     0.5823214
   94     0.5752441     0.5823214
   95     0.5752441     0.5823214
   96     0.5752441     0.5823214
   97     0.5752441     0.5823214
   98     0.5752441     0.5823214
   99     0.5752441     0.5823214
  100     0.5752441     0.5823214
TRAIN ERROR =  0.5752441
TEST  ERROR =  0.5823214
VAL   ERROR =  0.5831816
 
