
 epochs   TRAIN_error   TEST_error
    1     0.5779018     0.5773766
    2     0.5779018     0.5773766
    3     0.5779018     0.5773766
    4     0.5779018     0.5773766
    5     0.5779018     0.5773766
    6     0.5779018     0.5773766
    7     0.5779018     0.5773766
    8     0.5779018     0.5773766
    9     0.5779018     0.5773766
   10     0.5779018     0.5773766
   11     0.5779018     0.5773766
   12     0.5779018     0.5773766
   13     0.5779018     0.5773766
   14     0.5779018     0.5773766
   15     0.5779018     0.5773766
   16     0.5779018     0.5773766
   17     0.5779018     0.5773766
   18     0.5779018     0.5773766
   19     0.5779018     0.5773766
   20     0.5779018     0.5773766
   21     0.5779018     0.5773766
   22     0.5779018     0.5773766
   23     0.5779018     0.5773766
   24     0.5779018     0.5773766
   25     0.5779018     0.5773766
   26     0.5779018     0.5773766
   27     0.5779018     0.5773766
   28     0.5779018     0.5773766
   29     0.5779018     0.5773766
   30     0.5779018     0.5773766
   31     0.5779018     0.5773766
   32     0.5779018     0.5773766
   33     0.5779018     0.5773766
   34     0.5779018     0.5773766
   35     0.5779018     0.5773766
   36     0.5779018     0.5773766
   37     0.5779018     0.5773766
   38     0.5779018     0.5773766
   39     0.5779018     0.5773766
   40     0.5779018     0.5773766
   41     0.5779018     0.5773766
   42     0.5779018     0.5773766
   43     0.5779018     0.5773766
   44     0.5779018     0.5773766
   45     0.5779018     0.5773766
   46     0.5779018     0.5773766
   47     0.5779018     0.5773766
   48     0.5779018     0.5773766
   49     0.5779018     0.5773766
   50     0.5779018     0.5773766
   51     0.5779018     0.5773766
   52     0.5779018     0.5773766
   53     0.5779018     0.5773766
   54     0.5779018     0.5773766
   55     0.5779018     0.5773766
   56     0.5779018     0.5773766
   57     0.5779018     0.5773766
   58     0.5779018     0.5773766
   59     0.5779018     0.5773766
   60     0.5779018     0.5773766
   61     0.5779018     0.5773766
   62     0.5779018     0.5773766
   63     0.5779018     0.5773766
   64     0.5779018     0.5773766
   65     0.5779018     0.5773766
   66     0.5779018     0.5773766
   67     0.5779018     0.5773766
   68     0.5779018     0.5773766
   69     0.5779018     0.5773766
   70     0.5779018     0.5773766
   71     0.5779018     0.5773766
   72     0.5779018     0.5773766
   73     0.5779018     0.5773766
   74     0.5779018     0.5773766
   75     0.5779018     0.5773766
   76     0.5779018     0.5773766
   77     0.5779018     0.5773766
   78     0.5779018     0.5773766
   79     0.5779018     0.5773766
   80     0.5779018     0.5773766
   81     0.5779018     0.5773766
   82     0.5779018     0.5773766
   83     0.5779018     0.5773766
   84     0.5779018     0.5773766
   85     0.5779018     0.5773766
   86     0.5779018     0.5773766
   87     0.5779018     0.5773766
   88     0.5779018     0.5773766
   89     0.5779018     0.5773766
   90     0.5779018     0.5773766
   91     0.5779018     0.5773766
   92     0.5779018     0.5773766
   93     0.5779018     0.5773766
   94     0.5779018     0.5773766
   95     0.5779018     0.5773766
   96     0.5779018     0.5773766
   97     0.5779018     0.5773766
   98     0.5779018     0.5773766
   99     0.5779018     0.5773766
  100     0.5779018     0.5773766
TRAIN ERROR =  0.5779018
TEST  ERROR =  0.5773766
VAL   ERROR =  0.5830132
 
