
 epochs   TRAIN_error   TEST_error
    1     0.7644228     0.5893673
    2     0.5814857     0.5960460
    3     0.5761396     0.5897402
    4     0.5761396     0.5897402
    5     0.5761396     0.5897402
    6     0.5761396     0.5897402
    7     0.5761396     0.5897402
    8     0.5761396     0.5897402
    9     0.5761396     0.5897402
   10     0.5761396     0.5897402
   11     0.5761396     0.5897402
   12     0.5761396     0.5897402
   13     0.5761396     0.5897402
   14     0.5761396     0.5897402
   15     0.5761396     0.5897402
   16     0.5761396     0.5897402
   17     0.5761396     0.5897402
   18     0.5761396     0.5897402
   19     0.5761396     0.5897402
   20     0.5761396     0.5897402
   21     0.5761396     0.5897402
   22     0.5761396     0.5897402
   23     0.5761396     0.5897402
   24     0.5761396     0.5897402
   25     0.5761396     0.5897402
   26     0.5761396     0.5897402
   27     0.5761396     0.5897402
   28     0.5761396     0.5897402
   29     0.5761396     0.5897402
   30     0.5761396     0.5897402
   31     0.5761396     0.5897402
   32     0.5761396     0.5897402
   33     0.5761396     0.5897402
   34     0.5761396     0.5897402
   35     0.5761396     0.5897402
   36     0.5761396     0.5897402
   37     0.5761396     0.5897402
   38     0.5761396     0.5897402
   39     0.5761396     0.5897402
   40     0.5761396     0.5897402
   41     0.5761396     0.5897402
   42     0.5761396     0.5897402
   43     0.5761396     0.5897402
   44     0.5761396     0.5897402
   45     0.5761396     0.5897402
   46     0.5761396     0.5897402
   47     0.5761396     0.5897402
   48     0.5761396     0.5897402
   49     0.5761396     0.5897402
   50     0.5761396     0.5897402
   51     0.5761396     0.5897402
   52     0.5761396     0.5897402
   53     0.5761396     0.5897402
   54     0.5761396     0.5897402
   55     0.5761396     0.5897402
   56     0.5761396     0.5897402
   57     0.5761396     0.5897402
   58     0.5761396     0.5897402
   59     0.5761396     0.5897402
   60     0.5761396     0.5897402
   61     0.5761396     0.5897402
   62     0.5761396     0.5897402
   63     0.5761396     0.5897402
   64     0.5761396     0.5897402
   65     0.5761396     0.5897402
   66     0.5761396     0.5897402
   67     0.5761396     0.5897402
   68     0.5761396     0.5897402
   69     0.5761396     0.5897402
   70     0.5761396     0.5897402
   71     0.5761396     0.5897402
   72     0.5761396     0.5897402
   73     0.5761396     0.5897402
   74     0.5761396     0.5897402
   75     0.5761396     0.5897402
   76     0.5761396     0.5897402
   77     0.5761396     0.5897402
   78     0.5761396     0.5897402
   79     0.5761396     0.5897402
   80     0.5761396     0.5897402
   81     0.5761396     0.5897402
   82     0.5761396     0.5897402
   83     0.5761396     0.5897402
   84     0.5760249     0.5894626
   85     0.5760249     0.5894626
   86     0.5760249     0.5894626
   87     0.5760249     0.5894626
   88     0.5760249     0.5894626
   89     0.5760249     0.5894626
   90     0.5760249     0.5894626
   91     0.5760249     0.5894626
   92     0.5760249     0.5894626
   93     0.5760249     0.5894626
   94     0.5760249     0.5894626
   95     0.5760249     0.5894626
   96     0.5760249     0.5894626
   97     0.5760249     0.5894626
   98     0.5760249     0.5894626
   99     0.5760249     0.5894626
  100     0.5760249     0.5894626
TRAIN ERROR =  0.5760249
TEST  ERROR =  0.5894626
VAL   ERROR =  0.5844144
 
