
 epochs   TRAIN_error   TEST_error
    1     0.5811072     0.5916672
    2     0.5811072     0.5916672
    3     0.5811072     0.5916672
    4     0.5811072     0.5916672
    5     0.5811072     0.5916672
    6     0.5811072     0.5916672
    7     0.5811072     0.5916672
    8     0.5811072     0.5916672
    9     0.5811072     0.5916672
   10     0.5811072     0.5916672
   11     0.5811072     0.5916672
   12     0.5811072     0.5916672
   13     0.5811072     0.5916672
   14     0.5811072     0.5916672
   15     0.5811072     0.5916672
   16     0.5811072     0.5916672
   17     0.5811072     0.5916672
   18     0.5811072     0.5916672
   19     0.5811072     0.5916672
   20     0.5811072     0.5916672
   21     0.5811072     0.5916672
   22     0.5811072     0.5916672
   23     0.5811072     0.5916672
   24     0.5811072     0.5916672
   25     0.5811072     0.5916672
   26     0.5811072     0.5916672
   27     0.5811072     0.5916672
   28     0.5811072     0.5916672
   29     0.5811072     0.5916672
   30     0.5811072     0.5916672
   31     0.5811072     0.5916672
   32     0.5811072     0.5916672
   33     0.5811072     0.5916672
   34     0.5811072     0.5916672
   35     0.5811072     0.5916672
   36     0.5811072     0.5916672
   37     0.5811072     0.5916672
   38     0.5811072     0.5916672
   39     0.5811072     0.5916672
   40     0.5811072     0.5916672
   41     0.5811072     0.5916672
   42     0.5811072     0.5916672
   43     0.5811072     0.5916672
   44     0.5811072     0.5916672
   45     0.5811072     0.5916672
   46     0.5811072     0.5916672
   47     0.5811072     0.5916672
   48     0.5811072     0.5916672
   49     0.5811072     0.5916672
   50     0.5811072     0.5916672
   51     0.5811072     0.5916672
   52     0.5811072     0.5916672
   53     0.5811072     0.5916672
   54     0.5811072     0.5916672
   55     0.5811072     0.5916672
   56     0.5811072     0.5916672
   57     0.5811072     0.5916672
   58     0.5811072     0.5916672
   59     0.5811072     0.5916672
   60     0.5811072     0.5916672
   61     0.5811072     0.5916672
   62     0.5811072     0.5916672
   63     0.5811072     0.5916672
   64     0.5811072     0.5916672
   65     0.5811072     0.5916672
   66     0.5811072     0.5916672
   67     0.5811072     0.5916672
   68     0.5811072     0.5916672
   69     0.5811072     0.5916672
   70     0.5811072     0.5916672
   71     0.5811072     0.5916672
   72     0.5811072     0.5916672
   73     0.5811072     0.5916672
   74     0.5811072     0.5916672
   75     0.5811072     0.5916672
   76     0.5811072     0.5916672
   77     0.5811072     0.5916672
   78     0.5811072     0.5916672
   79     0.5811072     0.5916672
   80     0.5811072     0.5916672
   81     0.5811072     0.5916672
   82     0.5811072     0.5916672
   83     0.5811072     0.5916672
   84     0.5811072     0.5916672
   85     0.5811072     0.5916672
   86     0.5811072     0.5916672
   87     0.5811072     0.5916672
   88     0.5811072     0.5916672
   89     0.5811072     0.5916672
   90     0.5811072     0.5916672
   91     0.5811072     0.5916672
   92     0.5811072     0.5916672
   93     0.5811072     0.5916672
   94     0.5811072     0.5916672
   95     0.5811072     0.5916672
   96     0.5811072     0.5916672
   97     0.5811072     0.5916672
   98     0.5811072     0.5916672
   99     0.5811072     0.5916672
  100     0.5811072     0.5916672
TRAIN ERROR =  0.5811072
TEST  ERROR =  0.5916672
VAL   ERROR =  0.5878347
 
