
 epochs   TRAIN_error   TEST_error
    1     0.6442209     0.5823478
    2     0.5804007     0.5821688
    3     0.5773244     0.5797455
    4     0.5773244     0.5797455
    5     0.5773244     0.5797455
    6     0.5773244     0.5797455
    7     0.5773244     0.5797455
    8     0.5773244     0.5797455
    9     0.5773244     0.5797455
   10     0.5773244     0.5797455
   11     0.5772843     0.5797444
   12     0.5772843     0.5797444
   13     0.5772843     0.5797444
   14     0.5772843     0.5797444
   15     0.5772843     0.5797444
   16     0.5772843     0.5797444
   17     0.5772843     0.5797444
   18     0.5772843     0.5797444
   19     0.5772843     0.5797444
   20     0.5772843     0.5797444
   21     0.5772843     0.5797444
   22     0.5772843     0.5797444
   23     0.5772843     0.5797444
   24     0.5772843     0.5797444
   25     0.5772843     0.5797444
   26     0.5772843     0.5797444
   27     0.5772843     0.5797444
   28     0.5772843     0.5797444
   29     0.5772843     0.5797444
   30     0.5772843     0.5797444
   31     0.5772843     0.5797444
   32     0.5772843     0.5797444
   33     0.5772843     0.5797444
   34     0.5772843     0.5797444
   35     0.5772843     0.5797444
   36     0.5772843     0.5797444
   37     0.5772843     0.5797444
   38     0.5772843     0.5797444
   39     0.5772843     0.5797444
   40     0.5772843     0.5797444
   41     0.5772843     0.5797444
   42     0.5772843     0.5797444
   43     0.5772843     0.5797444
   44     0.5772843     0.5797444
   45     0.5772843     0.5797444
   46     0.5772843     0.5797444
   47     0.5772843     0.5797444
   48     0.5772843     0.5797444
   49     0.5772843     0.5797444
   50     0.5772843     0.5797444
   51     0.5772843     0.5797444
   52     0.5772843     0.5797444
   53     0.5772843     0.5797444
   54     0.5772843     0.5797444
   55     0.5772843     0.5797444
   56     0.5772843     0.5797444
   57     0.5772843     0.5797444
   58     0.5772843     0.5797444
   59     0.5772843     0.5797444
   60     0.5772843     0.5797444
   61     0.5772843     0.5797444
   62     0.5772843     0.5797444
   63     0.5772843     0.5797444
   64     0.5772843     0.5797444
   65     0.5772843     0.5797444
   66     0.5772843     0.5797444
   67     0.5772843     0.5797444
   68     0.5772843     0.5797444
   69     0.5772843     0.5797444
   70     0.5772843     0.5797444
   71     0.5772843     0.5797444
   72     0.5772843     0.5797444
   73     0.5772843     0.5797444
   74     0.5772843     0.5797444
   75     0.5772843     0.5797444
   76     0.5772843     0.5797444
   77     0.5772843     0.5797444
   78     0.5772843     0.5797444
   79     0.5772843     0.5797444
   80     0.5772843     0.5797444
   81     0.5772843     0.5797444
   82     0.5772843     0.5797444
   83     0.5772843     0.5797444
   84     0.5772843     0.5797444
   85     0.5772843     0.5797444
   86     0.5772843     0.5797444
   87     0.5772843     0.5797444
   88     0.5772843     0.5797444
   89     0.5772843     0.5797444
   90     0.5772843     0.5797444
   91     0.5772843     0.5797444
   92     0.5772843     0.5797444
   93     0.5772843     0.5797444
   94     0.5772843     0.5797444
   95     0.5772843     0.5797444
   96     0.5772843     0.5797444
   97     0.5772843     0.5797444
   98     0.5772843     0.5797444
   99     0.5772843     0.5797444
  100     0.5772843     0.5797444
TRAIN ERROR =  0.5772843
TEST  ERROR =  0.5797444
VAL   ERROR =  0.5832044
 
